event_id,time_s,lat,lon,peak_vertical,peak_vertical_g,peak_gyro_mag,speed_mean,event_duration,vert_jrk,num_peaks_accel,num_peaks_gyro,peak_interval_mean,peak_interval_std,asymmetry_score,vertical_energy,gyro_energy,accel_to_gyro_ratio,local_duration,top2_peak_ratio,duration_above_threshold,max_jerk,peak_to_peak,fft_high_low_ratio,zcr,kurtosis,skewness,gyro_pitch_energy,gyro_roll_energy,gyro_yaw_energy,gyro_pitch_roll_ratio,score,priority,level,suggested_label,suggested_raw_label,suggested_kind,suggestion_confidence,suggestion_rule,suggestion_reason,needs_review,label,notes,maps_link
81,1775973934.0466669,-6.8398917,109.451725,-48.10899760127874,-4.905752484414019,2.8969976938688182,8.4213705,0.0,34.419718222246864,0,1,0.0,0.0,0.5621703347729472,7255.694162408173,163.39024220014912,44.40714463910873,0.0,0.0,0.0,3441.9751047479417,57.4982565685428,9.245085489413615,0.47,1.726400971238947,1.220916179432844,61.242155136129256,85.10840623837215,17.039680825647693,0.7195782076452429,0.49716185653188627,medium,normal,Non-Event,Normal,condition_like,0.92,R6,amplitudo rendah + tidak ada struktur event → Non-Event,False,,,"https://www.google.com/maps?q=-6.8398917,109.451725"
80,1775973930.93,-6.8398917,109.451725,-45.561479584913286,-4.645977941999897,1.3753762104079923,8.4213705,0.039999961853027344,65.65910598754007,0,2,0.0,0.0,0.608378396410715,11709.442600922639,229.2987764589201,51.06631064799479,0.0,0.0,0.039999961853027344,3673.570315152274,72.05982703210009,2.7426479970014004,0.44554455445544555,4.438094570415527,-1.4026338959885989,75.25327025787915,123.89661617930267,30.14889002173831,0.6073876105024961,0.495742562119228,medium,normal,Non-Event,Normal,condition_like,0.92,R6,amplitudo rendah + tidak ada struktur event → Non-Event,False,,,"https://www.google.com/maps?q=-6.8398917,109.451725"
222,1776412898.98,-6.873632,109.4518159,44.62052706595534,4.550027488077514,3.0591087524056757,8.766832,0.25999975204467773,42.01405891956556,2,2,0.23000001907348633,0.0,0.3644351156471582,9873.637834377812,255.2588327176898,38.68088594848717,0.23000001907348633,0.5223521663565236,0.25999975204467773,4201.409898733269,77.26286030216644,49.83233132129055,0.39603960396039606,4.513329415889551,-0.6142692367932047,20.624065930006886,201.35703336780753,33.2777334198754,0.10242535600883984,0.4940212594270523,medium,normal,Non-Event,Non-Event,ambiguous,0.4,R9,fallback,True,,,"https://www.google.com/maps?q=-6.873632,109.4518159"
150,1776327951.65,-6.8963452,109.5218313,39.3933762477013,4.017006444372064,4.937374923727057,7.8502927,0.029999971389770508,51.5753397694822,0,2,0.0,0.0,0.8034150598408943,5268.79839276346,124.40820386669448,42.35089155421113,0.0,0.0,0.029999971389770508,5157.5388955606,55.33281190741216,5.121330689796055,0.43564356435643564,7.933246990206499,3.2884729587876556,37.530194823571435,43.18034319107322,43.69766585204982,0.8691499691966362,0.49129792786588494,medium,candidate,Non-Event,Normal,condition_like,0.92,R6,amplitudo rendah + tidak ada struktur event → Non-Event,False,,,"https://www.google.com/maps?q=-6.8963452,109.5218313"
326,1776417546.92,-6.9640605,109.4892625,40.29510227215273,4.1089569090517895,3.9037435341971762,11.674247,0.09999990463256836,56.10133813823934,0,1,0.0,0.0,0.5066851992437376,9178.569630737999,299.34863491432725,30.661805431994285,0.0,0.0,0.09999990463256836,5260.341864022591,68.04754812855312,22.119443314140124,0.4752475247524752,3.3390449480543625,0.23426877872697086,22.514785078828506,245.1206610388824,31.71318879661627,0.09185184509356902,0.49097277413924806,medium,normal,Non-Event,Normal,condition_like,0.92,R6,amplitudo rendah + tidak ada struktur event → Non-Event,False,,,"https://www.google.com/maps?q=-6.9640605,109.4892625"
65,1775973717.17,-6.8555021,109.4533306,38.34407922778109,3.9100079260278577,5.223244689597944,5.874274,0.0,53.86470513175504,0,3,0.0,0.0,0.5352567809788774,13899.006416926768,521.2061573154109,26.667003440346353,0.0,0.0,0.0,5386.475650118988,73.22360214954841,6.1154611731216315,0.45544554455445546,1.0630979921315307,0.002281130716963917,119.91537640548512,314.2518548786594,87.03892603126624,0.3815900341151445,0.4901583623299603,medium,candidate,Non-Event,Normal,condition_like,0.92,R6,amplitudo rendah + tidak ada struktur event → Non-Event,False,,,"https://www.google.com/maps?q=-6.8555021,109.4533306"
44,1775973506.42,-6.8722733,109.4524,-45.64202792480232,-4.654191586811227,2.3262708626818376,6.536972,0.039999961853027344,47.75074660556902,0,2,0.0,0.0,0.5561181345542293,6672.23466493146,89.03607069863112,74.93855622376972,0.0,0.0,0.039999961853027344,4775.079214427307,64.78862197741668,1.6732099090123975,0.42574257425742573,8.078434825238606,-1.1846686395014279,32.37554900051663,40.44687867851926,16.213643019595246,0.8004461470908176,0.4878402526019524,medium,normal,Non-Event,Normal,condition_like,0.92,R6,amplitudo rendah + tidak ada struktur event → Non-Event,False,,,"https://www.google.com/maps?q=-6.8722733,109.4524"
308,1776414087.0366666,-6.8214183,109.4792533,43.5015601399408,4.435924616453203,2.8831316370235767,4.849198,0.0,50.70376287655725,0,2,0.0,0.0,0.30750653565993047,23905.548984097488,750.5773972305668,31.84954548385434,0.0,0.0,0.0,4375.0661773769725,74.37237344414567,7.116145536951688,0.47,-0.4664587296121625,-0.07306546676793076,78.99368421739376,631.9628151649191,39.62089784825394,0.12499736091558164,0.48050562329062385,medium,normal,Non-Event,Normal,condition_like,0.92,R6,amplitudo rendah + tidak ada struktur event → Non-Event,False,,,"https://www.google.com/maps?q=-6.8214183,109.4792533"
267,1776413759.9325,-6.8305467,109.4635633,-44.34454204775789,-4.5218848483180185,2.825523007283342,7.265819,0.0,47.19815968699504,0,2,0.0,0.0,0.215378135551457,18975.550167121455,314.21776227866934,60.38980727608537,0.0,0.0,0.0,4719.820469871064,76.5787996855278,6.129826266540431,0.38,0.9306918003054601,-0.22656963259127216,25.85467184672235,260.1824169270143,28.18067350493269,0.09937132590556153,0.479794026447131,medium,normal,Non-Event,Normal,condition_like,0.92,R6,amplitudo rendah + tidak ada struktur event → Non-Event,False,,,"https://www.google.com/maps?q=-6.8305467,109.4635633"
293,1776414012.626,-6.8229028,109.4770648,39.15672329883932,3.992874559491704,4.162436749012013,5.2230177,0.0,57.09228639262859,0,2,0.0,0.0,0.3442214097726565,25414.047269194507,351.13561585498803,72.3767286748641,0.0,0.0,0.0,5592.760487219584,76.87135751850893,27.510517328777386,0.56,-0.3484663275986404,0.09933786629258494,30.817824225783976,284.63816957215386,35.67962205705014,0.10827017389774807,0.4779866968662514,medium,candidate,Non-Event,Normal,condition_like,0.92,R6,amplitudo rendah + tidak ada struktur event → Non-Event,False,,,"https://www.google.com/maps?q=-6.8229028,109.4770648"
