event_id,trip_id,time_s,label,pred_label,error_type,pothole_confidence,speed_mean,vertical_energy
310,606f1311-3f3f-40aa-9c26-05d27f54675c,1776329018.99,Non-Event,Pothole,FALSE_POSITIVE (Model Over-sensitive),0.16183183,16.379683,52571.97468109087
565,2403297f-866d-495e-a41b-b29966866b69,1776417454.41,Non-Event,Pothole,FALSE_POSITIVE (Model Over-sensitive),0.16083056,9.831934,105454.07255766248
232,635ce134-fb1a-4d66-97a1-2eba272d836a,1776327547.43,Non-Event,Pothole,FALSE_POSITIVE (Model Over-sensitive),0.16076168,16.581879,45527.33826126942
65,cc249e1a-62c0-4274-812f-0019a041760e,1775973470.51,Non-Event,Pothole,FALSE_POSITIVE (Model Over-sensitive),0.1604848,8.667922,130085.78225465093
357,3a9b8fd6-92e7-4ce1-89d1-f0025de3bc91,1776329851.89,Non-Event,Pothole,FALSE_POSITIVE (Model Over-sensitive),0.1604026,6.3375797,52552.08610140862
122,cc249e1a-62c0-4274-812f-0019a041760e,1775974085.91,Non-Event,Pothole,FALSE_POSITIVE (Model Over-sensitive),0.16036983,5.0020704,62562.04683262784
250,7b68bd61-6146-4cdb-8ad6-424ae6e78950,1776327895.03,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.15968476,17.138735,61532.97429564412
590,2403297f-866d-495e-a41b-b29966866b69,1776417690.55,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.15868482,3.1817925,52660.69367598575
153,d4030b3c-2d8e-49cc-9722-89da2a36bbc9,1776325730.13,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.15867296,16.044407,153752.67781904267
450,c72307ef-f384-4659-aded-5319b398f560,1776412893.07,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.15766394,8.766832,123952.89324520234
571,2403297f-866d-495e-a41b-b29966866b69,1776417504.59,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.15744452,10.686746,31966.84886736478
358,3a9b8fd6-92e7-4ce1-89d1-f0025de3bc91,1776329858.33,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.157403,6.3375797,122476.6559032858
85,cc249e1a-62c0-4274-812f-0019a041760e,1775973654.45,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.15736775,9.759648,47694.98887474389
67,cc249e1a-62c0-4274-812f-0019a041760e,1775973484.14,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.15677078,4.4909515,33436.66661534463
596,2403297f-866d-495e-a41b-b29966866b69,1776417787.57,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.15367147,4.6272063,126093.76427155265
46,178e7720-4939-4df4-b9af-2a0a7e15ece3,1775973212.93,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.15329406,2.4447591,17433.7747188521
362,3a9b8fd6-92e7-4ce1-89d1-f0025de3bc91,1776329902.2,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.1531837,7.4423685,51489.15328268538
468,c72307ef-f384-4659-aded-5319b398f560,1776413104.23,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.15179852,6.420327,55726.60514850418
194,2ba192ad-a007-47e8-843d-e4f356c01155,1776326904.26,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.14974919,4.2119246,30210.73855129372
200,2ba192ad-a007-47e8-843d-e4f356c01155,1776326949.53,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.14826909,4.334681,91534.3163541331
581,2403297f-866d-495e-a41b-b29966866b69,1776417606.46,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.14612034,2.1340613,14232.205362993758
569,2403297f-866d-495e-a41b-b29966866b69,1776417481.34,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.14566644,10.228854,62093.05270504828
333,3a9b8fd6-92e7-4ce1-89d1-f0025de3bc91,1776329411.27,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.14553042,11.8597145,109548.74617208246
103,cc249e1a-62c0-4274-812f-0019a041760e,1775973878.94,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.14539002,8.01516,53625.43222656193
437,c72307ef-f384-4659-aded-5319b398f560,1776412777.75,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.14537737,8.278792,188302.95939765347
458,c72307ef-f384-4659-aded-5319b398f560,1776413000.68,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.14534639,14.353835,53115.14788720401
45,178e7720-4939-4df4-b9af-2a0a7e15ece3,1775973204.54,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.14526549,4.2011566,49807.97384000452
252,7b68bd61-6146-4cdb-8ad6-424ae6e78950,1776327907.14,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.14412668,7.9533443,75228.5294243198
197,2ba192ad-a007-47e8-843d-e4f356c01155,1776326924.49,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.14392677,6.977751,67778.74850616898
377,44eda033-50cf-4664-89ef-2aa88372c53f,1776330092.27,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.14336652,7.4466925,129502.82516575868
35,178e7720-4939-4df4-b9af-2a0a7e15ece3,1775973066.4,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.14283496,7.441339,28757.73000097998
92,cc249e1a-62c0-4274-812f-0019a041760e,1775973717.17,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.14278282,5.874274,142672.6353704077
251,7b68bd61-6146-4cdb-8ad6-424ae6e78950,1776327905.39,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.14195575,7.9533443,40795.96763356465
585,2403297f-866d-495e-a41b-b29966866b69,1776417640.01,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.14163613,9.043384,52142.40290005022
193,2ba192ad-a007-47e8-843d-e4f356c01155,1776326863.09,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.14156492,7.604121,72922.3386664406
471,c72307ef-f384-4659-aded-5319b398f560,1776413122.0,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.14137174,5.442369,123724.97500857509
102,cc249e1a-62c0-4274-812f-0019a041760e,1775973870.13,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.14104845,8.01516,60619.99019724413
