feature,kruskal_stat,kruskal_p,n_classes_present,Non-Event_n,Non-Event_mean,Non-Event_median,Non-Event_std,Non-Event_q25,Non-Event_q75,Pothole_n,Pothole_mean,Pothole_median,Pothole_std,Pothole_q25,Pothole_q75,Speed Bump_n,Speed Bump_mean,Speed Bump_median,Speed Bump_std,Speed Bump_q25,Speed Bump_q75,max_abs_cohen_d,mean_abs_cohen_d
score,11.407867771540595,0.0033328286678266264,3,29,0.3315658102204444,0.3227424834770108,0.052697177196241694,0.2962774196652097,0.3554944879951621,9,0.4404587153275184,0.4532956962954618,0.09752613583589566,0.349436805738638,0.468072170967944,4,0.41267623859705915,0.437540195679497,0.0710423769118889,0.39528185579790753,0.4549345784786486,1.6657389077899456,1.1508313668542363
max_jerk,10.46729293160729,0.005334039404636734,3,29,7352.553997579243,6913.18778850346,1824.5177817276726,6132.141173544148,7770.914525736399,9,9979.359347695276,10018.971592748174,2644.3039915506347,9629.302718993158,10414.708080516188,4,9136.539307879673,8909.380782157936,2524.496282165925,7565.173488380484,10480.746601657125,1.2905413412984965,0.8501284459164125
kurtosis,10.424650908211447,0.005448987572346113,3,29,1.0376277155662907,0.7948993966721769,0.9697870794076694,0.49745025115678,1.1368405908470347,9,2.6017098370341905,1.8378063299866945,1.8185896587377333,1.3935355692130535,4.145198821365476,4,2.826126689140033,3.0086503305409487,1.677371462910607,1.8096032639674293,4.025173755713553,1.6886512512325917,1.0354143286277848
peak_to_peak,8.25449650589988,0.01612719578351379,3,29,61.962688414290625,61.1785421100358,8.980059198824573,56.11224290579597,64.95311686379858,9,73.76366457784123,69.56236386999015,13.979330194386526,63.4788613712055,85.1316183129168,4,77.5003293894266,75.8706568601331,17.71187087078866,71.03418605029823,82.33680019926145,1.5295108380797031,0.9741873246122457
fft_high_low_ratio,8.08914092234059,0.017517227369373733,3,29,71.9945405669629,60.16660871690462,54.56398582134269,31.15956073344448,86.23024800928826,9,35.56354795099667,14.256473660981856,36.15359912518808,10.27164578334174,45.95798930794125,4,27.07358913860858,27.059539049717678,22.15726629217503,9.507892158744292,44.62523602958196,0.8587004000704027,0.6100470254143074
peak_gyro_mag,7.365047542673835,0.025159398074654886,3,29,2.3529127322598242,2.195266510479138,0.9837315295727284,1.7465333190441144,3.1908999381120946,9,3.827609669787622,3.403309182379115,1.584374792364065,2.6277667737132324,4.848913240049903,4,2.327221562486237,2.3478094870079893,0.44641194563438097,1.971748213668996,2.70328283582523,1.2881984552972652,0.8032185217004942
peak_mag_g,7.2768294700933325,0.026293993890880576,3,29,6.085231826327561,6.024402318834669,1.787125316917048,4.58307067143214,7.781530390092437,9,7.670861223988031,7.655828035057843,1.2994047116960596,7.146895728918642,7.969100559314344,4,8.093985892226193,8.58839073485849,1.6793613765971744,7.548388415004105,9.13398821208058,1.1304300486014638,0.7891860190714896
accel_to_gyro_ratio,6.862578124005552,0.03234521889499166,3,29,42.55931316348749,43.59497207490244,6.385009825657696,38.15047283883136,46.81950397221458,9,37.10148630938899,36.211642097862665,3.2994953643774685,34.26150833902432,39.527983498617495,4,38.71298736029766,38.862147683129635,6.220160187457092,35.58136998248077,41.99376506094653,0.9342529576268416,0.6377063667260215
zcr,6.4445233599091525,0.039864794818287246,3,29,0.3746148659995191,0.3709273182957393,0.04189735668235248,0.3401015228426396,0.4055415617128463,9,0.33978540716767713,0.3316582914572864,0.026331900441721044,0.3181818181818182,0.3517587939698492,4,0.3439793439230121,0.3345670444907086,0.04570514437438191,0.31921183686811394,0.3593345515456068,0.8935377996758925,0.5820280979262488
gyro_roll_energy,4.160607680655801,0.12489225912807199,3,29,402.7529506048262,384.4186750350265,140.56810177064997,324.75846406416883,487.02529892324674,9,485.42234400169895,463.5305226468015,153.9740878423816,335.786623633929,569.0442521397608,4,548.056190441168,515.6620429545281,164.5322376559904,444.392582072965,619.3256513227312,1.0156608387263966,0.6634219665197948
