feature,kruskal_stat,kruskal_p,n_classes_present,Non-Event_n,Non-Event_mean,Non-Event_median,Non-Event_std,Non-Event_q25,Non-Event_q75,Pothole_n,Pothole_mean,Pothole_median,Pothole_std,Pothole_q25,Pothole_q75,Speed Bump_n,Speed Bump_mean,Speed Bump_median,Speed Bump_std,Speed Bump_q25,Speed Bump_q75,max_abs_cohen_d,mean_abs_cohen_d
horizontal_to_vertical_ratio,13.139426222632324,0.0014021996296443167,3,28,135.49591032839456,143.4413018956664,68.67287140509188,77.18925899592081,191.8586921065505,2,164.43067861639122,164.43067861639122,19.30858544414929,157.6040627650523,171.25729446773013,100,86.49451529011569,67.52831525142102,73.17638010928492,29.02850311414523,124.89844706767207,1.0700346541284333,0.7256142033356925
kurtosis,5.489514302491386,0.06426390545904555,3,28,1.1971517664874216,0.6931200511317517,1.7164996417246885,0.16940104151108776,1.4021351930888164,2,3.7033350856466787,3.7033350856466787,0.9366271907159015,3.3721873666472186,4.034482804646139,100,1.8135919402604197,1.5396784094740994,2.1449341804737387,0.2982984711343062,2.7438569464303937,1.4787158859626428,0.8874929877653966
grav_z_std,5.207701031792681,0.0739881365223022,3,28,0.4371563882336667,0.38459385447795125,0.24125156498560096,0.238875542724667,0.5811747920917667,2,0.3127427543838417,0.3127427543838417,0.039452496775793384,0.29879419038138977,0.3266913183862936,100,0.314457376129647,0.27559227551499765,0.15073150416122857,0.213741715612085,0.38708186101141784,0.7046160419722594,0.41364962348453477
num_peaks_accel,4.711960250460468,0.09480054457930404,3,28,1.5714285714285714,1.0,1.1362241376617956,1.0,2.0,2,0.5,0.5,0.7071067811865476,0.25,0.75,100,1.73,2.0,0.8270062840990955,1.0,2.0,1.489296218129063,0.8728377190710098
vert_jrk,4.329108693786146,0.11480108465889712,3,28,274.29382380694375,290.30758427209355,68.27845976995786,209.6746316789139,326.9829854898104,2,526.1111050049856,526.1111050049856,0.0,526.1111050049856,526.1111050049856,100,324.56730530487516,304.73148632657757,177.01055130814248,184.59650306506217,434.3729847664335,3.7557696535821123,1.7380682899094062
peak_interval_mean,3.9564310853374334,0.13831583593055755,3,28,0.26166666689373197,0.0,0.35076869648050213,0.0,0.49125006794929504,2,0.0,0.0,0.0,0.0,0.0,100,0.36470001339912417,0.31250011920928955,0.3894692328652374,0.0,0.5650001764297485,0.9411200520131687,0.6569530011117948
gyro_roll_energy,3.9496770405167467,0.13878372119305105,3,28,164.1739810457114,132.07815258313326,146.59428394861143,57.69020014336495,234.97581396757843,2,313.981464919352,313.981464919352,14.336002537487015,308.9129226146697,319.05000722403435,100,149.6570828128818,133.1819727792536,110.17249507107415,69.41315919235518,181.18902142479746,1.498904936526333,0.8871549634493722
linear_jerk_3d_max,1.8221636863550275,0.40208899141724885,3,28,10673.438927608673,10787.31601814796,3527.5959124133615,8517.772982872451,12641.880290547379,2,12520.666814213571,12520.666814213571,0.0,12520.666814213571,12520.666814213571,100,10265.78207684997,10140.248220108973,3383.818594138941,7446.909881543501,12081.485044635723,0.6697298826912834,0.440785740497103
grav_y_std,1.8198325643821818,0.4025579238903243,3,28,0.16140226408577482,0.12153089950463625,0.11446956638072973,0.08728102866816159,0.21336899231111234,2,0.13324282750147431,0.13324282750147431,0.00850037345261561,0.130237491645993,0.1362481633569556,100,0.19693237686988285,0.1524530370385691,0.14156456227511927,0.1044814507303943,0.2246632216923302,0.45215581461762844,0.3211620181159973
skewness,1.29714207680554,0.5227922933727607,3,28,-0.06255430213932513,-0.0691351809245841,0.47469673709129373,-0.2826773637334703,0.12871462150856386,2,0.3859640125000417,0.3859640125000417,0.7818826760924039,0.10952674132142984,0.6624012836786536,100,-0.14969171730329653,-0.09674442294606256,0.48242166068258835,-0.49504818583061183,0.1382018979975855,1.1014246626299424,0.7332931657706875
peak_mag,1.0654461874003687,0.587004323537336,3,28,39.4866865174209,32.32834302020109,20.674175184120944,24.81690638014046,53.84401964248282,2,45.59624935634369,45.59624935634369,22.40099399657074,37.676301976196534,53.51619673649085,100,34.61867274061127,32.51783528967792,14.523236045677946,24.9992840261108,42.50140146430484,0.7507043333041072,0.44959278372952843
peak_interval_std,0.9597218841606469,0.6188694445203526,3,28,0.04780336524052197,0.0,0.11587988317150015,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,100,0.024299999475479117,0.0,0.08021442662808766,0.0,0.0,0.4200950418903535,0.32948058502947264
event_duration,0.9595915032744715,0.6189097902087171,3,28,0.05785708768027165,0.0499999523162841,0.0366521988573885,0.0374999642372131,0.08499991893768302,2,0.0499999523162841,0.0499999523162841,0.0,0.0499999523162841,0.0499999523162841,100,0.04649995565414425,0.044999957084655706,0.021713215957513667,0.0299999713897705,0.059999942779541,0.4426449517198858,0.27431760829597357
speed_normalized_p2p,0.027858705487013472,0.9861672118098803,3,28,2.9610871983498037,2.4669509738675703,2.1058608600200155,1.392413064016437,3.381785130670162,2,2.4022756780944308,2.4022756780944308,0.4076920687139837,2.2581347648826156,2.5464165913062455,100,3.3742069279597917,2.5070208830305774,3.1050092989741453,1.3333051961609237,4.310735065430319,0.31456994928057913,0.2420332062434897
