timestamp,ax,ay,az,gx,gy,gz,lin_ax,lin_ay,lin_az,grav_x,grav_y,grav_z,speed,lat,lon
1779785009399,2.0329502,9.61005,-0.89805007,-0.1500125,0.056925,-0.0479875,0.3071801,-1.4539251,1.8945813,0.84181994,9.547926,2.0733688,0.060199983,-6.8971935,109.407052
1779785009399,1.149,8.094001,3.96795,-0.1500125,0.056925,-0.0479875,0.3071801,-1.4539251,1.8945813,0.84181994,9.547926,2.0733688,0.060199983,-6.8971935,109.407052
1779785009405,-1.7310001,9.220051,6.6600003,-0.1500125,0.056925,-0.0479875,-2.562216,-0.32393932,4.5643525,0.831216,9.54399,2.0956478,0.060199983,-6.8971935,109.407052
1779785009412,0.060000002,10.6380005,1.8559501,0.1106875,0.022824999,0.01265,-2.562216,-0.32393932,4.5643525,0.831216,9.54399,2.0956478,0.060199983,-6.8971935,109.407052
1779785009421,1.01505,10.518001,-0.48795003,0.1203125,-0.0548625,0.0339625,-0.76513666,1.0924759,-0.23510623,0.8297395,9.550118,2.068133,0.060199983,-6.8971935,109.407052
1779785009421,0.89295006,8.66205,2.3040001,0.1203125,-0.0548625,0.0339625,-0.76513666,1.0924759,-0.23510623,0.8297395,9.550118,2.068133,0.060199983,-6.8971935,109.407052
1779785009430,2.2390501,8.5990505,3.2899501,-0.070125,-0.0218625,0.0306625,0.06321055,-0.8880682,0.23586702,0.8471131,9.543998,2.0892355,0.060199983,-6.8971935,109.407052
1779785009430,0.55305004,10.450951,2.56005,0.090475,0.0526625,-0.0427625,-0.29406303,0.90695286,0.47081447,0.8471131,9.543998,2.0892355,0.060199983,-6.8971935,109.407052
1779785234574,1.36695,8.976001,2.4859502,-0.1967625,-0.080575,0.089375,-0.23325787,-0.22755527,0.15503907,0.32285884,9.514014,2.3557851,0.0,-6.9012341,109.4055195
1779785234575,-0.675,10.288051,2.08095,-0.1967625,-0.080575,0.089375,-0.62885886,0.16098595,-0.9858351,0.32285884,9.514014,2.3557851,0.0,-6.9012341,109.4055195
1779785234575,-0.30600002,9.675,1.36995,-0.1967625,-0.080575,0.089375,-0.62885886,0.16098595,-0.9858351,0.32285884,9.514014,2.3557851,0.0,-6.9012341,109.4055195
1779785234588,0.31395,8.773951,4.63905,0.1139875,0.0204875,0.0191125,-0.018130928,-0.73616886,2.2688744,0.33208093,9.510119,2.3701756,0.0,-6.9012341,109.4055195
1779785234590,0.88395005,9.8880005,1.02495,0.1139875,0.0204875,0.0191125,-0.018130928,-0.73616886,2.2688744,0.33207676,9.511242,2.3656683,0.0,-6.9012341,109.4055195
1779785234599,0.165,9.568951,2.979,-0.045649998,0.0386375,-0.0033,0.5518733,0.37675858,-1.3407183,0.33393437,9.511527,2.3642614,0.0,-6.9012341,109.4055195
1779785234609,0.057000004,9.93795,1.9759501,0.0374,-0.0231,0.056375,-0.16893436,0.05742359,0.6147387,0.33534795,9.511252,2.3651667,0.0,-6.9012341,109.4055195
1779785234620,-0.52395004,9.865951,2.67195,-0.04235,0.034375,-0.05115,-0.85442513,0.35448265,0.3069687,0.3304751,9.511468,2.3649814,0.0,-6.9012341,109.4055195
1779785234630,1.3960501,9.20505,2.4469502,0.047025,-0.064625,0.056375,-0.85442513,0.35448265,0.3069687,0.3304751,9.511468,2.3649814,0.0,-6.9012341,109.4055195
1779785234641,0.24705002,9.423,2.43495,-0.11055,0.013062499,-0.0160875,1.0584395,-0.306324,0.08259773,0.33763593,9.509839,2.3705115,0.0,-6.9012341,109.4055195
1779785234649,-1.19895,10.50405,0.67305005,0.2066625,0.0386375,-0.0724625,-0.09058592,-0.08683872,0.06443858,0.33181226,9.51332,2.357337,0.0,-6.9012341,109.4055195
1779785234660,0.57705003,8.08905,5.43195,0.1799875,0.0438625,-0.011825,0.24001676,-1.4180555,3.0504098,0.33703327,9.507106,2.3815403,0.0,-6.9012341,109.4055195
1779785234674,0.57705003,10.269,0.75195,-0.0710875,0.0215875,0.0350625,0.23971236,0.76028347,-1.6231103,0.33703327,9.507106,2.3815403,0.0,-6.9012341,109.4055195
1779785234679,0.33795002,9.505051,2.62905,-0.0710875,0.0215875,0.0350625,0.23971236,0.76028347,-1.6231103,0.33989984,9.50913,2.373043,0.0,-6.9012341,109.4055195
1779785234690,-0.13800001,9.972,2.466,0.044825,-0.031625,0.0424875,-0.001949817,-0.004078865,0.25600696,0.3397225,9.508622,2.3751042,0.0,-6.9012341,109.4055195
1779785234700,-0.27495003,9.816001,2.08095,-0.0488125,0.0545875,-0.0776875,-0.47772253,0.46337795,0.09089589,0.3324306,9.508921,2.3749347,0.0,-6.9012341,109.4055195
1779785234710,0.75195,9.61005,2.73,0.0672375,-0.097625,0.073425,-0.6073806,0.30708027,-0.29398465,0.34139836,9.509265,2.3722844,0.0,-6.9012341,109.4055195
1779785234722,0.94395006,9.01395,2.26095,-0.1392875,0.0088,-0.0224125,0.41055167,0.100785255,0.3577156,0.34006295,9.507082,2.3812077,0.0,-6.9012341,109.4055195
1779785234735,-1.8049501,10.812,0.78300005,0.2321,0.033275,-0.08415,0.6038871,-0.49313164,-0.120257616,0.33600166,9.511063,2.365835,0.0,-6.9012341,109.4055195
1779785234747,0.546,8.073,5.24205,-0.2872375,-0.0763125,0.0669625,0.2076889,-1.4315748,2.8506103,0.3383111,9.504575,2.39144,0.0,-6.9012341,109.4055195
1779785234755,1.1230501,9.967051,0.86895007,0.1023,-0.047575,0.0094875,0.2076889,-1.4315748,2.8506103,0.34555846,9.508289,2.3755853,0.0,-6.9012341,109.4055195
1779785234761,-0.41805002,9.8230505,2.8330503,-0.0499125,-0.0188375,-0.0383625,0.7774916,0.45876122,-1.5066352,0.33873,9.506233,2.3847868,0.0,-6.9012341,109.4055195
1779785234780,-0.04695,9.55305,2.3730001,0.109725,-0.034925,0.0339625,-0.75678,0.31681728,0.4482634,0.3614386,9.511536,2.3601778,0.0,-6.9012341,109.4055195
1779785234797,0.62505,9.543,2.3040001,-0.1722875,-0.031625,-0.0064625,-0.4083886,0.041514397,0.01282239,0.36085057,9.51095,2.3626235,0.0,-6.9012341,109.4055195
1779785234800,-0.126,9.411,2.397,0.208725,0.0609125,-0.1192125,0.26419944,0.032050133,-0.058623314,0.36085057,9.51095,2.3626235,0.0,-6.9012341,109.4055195
1779785234923,-0.89205,9.832951,1.87995,-0.1051875,-0.0433125,0.0339625,-0.48082852,-0.101638794,0.040277958,0.35344768,9.5112095,2.3627076,0.0,-6.9012341,109.4055195
1779785234925,0.31395,8.868,4.038,0.0576125,0.0353375,-0.0341,-1.2454977,0.3217411,-0.48275757,0.36079934,9.510268,2.365386,0.0,-6.9012341,109.4055195
1779785234925,0.81900007,9.768001,1.9660501,0.0576125,0.0353375,-0.0341,-1.2454977,0.3217411,-0.48275757,0.36079934,9.510268,2.365386,0.0,-6.9012341,109.4055195
1779785234925,0.46905002,9.723001,1.5319501,0.0576125,0.0353375,-0.0341,-1.2454977,0.3217411,-0.48275757,0.36079934,9.510268,2.365386,0.0,-6.9012341,109.4055195
1779785234925,-1.113,10.192051,3.18495,0.0576125,0.0353375,-0.0341,-1.2454977,0.3217411,-0.48275757,0.36079934,9.510268,2.365386,0.0,-6.9012341,109.4055195
1779785234925,0.42900002,9.342,2.3440502,0.0576125,0.0353375,-0.0341,-1.2454977,0.3217411,-0.48275757,0.36079934,9.510268,2.365386,0.0,-6.9012341,109.4055195
1779785234925,1.1730001,9.25605,2.4070501,0.0576125,0.0353375,-0.0341,-1.2454977,0.3217411,-0.48275757,0.36079934,9.510268,2.365386,0.0,-6.9012341,109.4055195
1779785234925,-1.00995,9.98595,2.0740502,0.0576125,0.0353375,-0.0341,-1.2454977,0.3217411,-0.48275757,0.36079934,9.510268,2.365386,0.0,-6.9012341,109.4055195
1779785234925,-0.20505,9.43305,2.3419502,0.0576125,0.0353375,-0.0341,-1.2454977,0.3217411,-0.48275757,0.36079934,9.510268,2.365386,0.0,-6.9012341,109.4055195
1779785234925,0.64695,9.225,2.97195,0.0576125,0.0353375,-0.0341,-1.2454977,0.3217411,-0.48275757,0.36079934,9.510268,2.365386,0.0,-6.9012341,109.4055195
1779785234925,0.18405001,9.934051,2.325,0.0576125,0.0353375,-0.0341,-1.2454977,0.3217411,-0.48275757,0.36079934,9.510268,2.365386,0.0,-6.9012341,109.4055195
1779785234929,0.85995007,9.35595,1.6189501,0.0576125,0.0353375,-0.0341,-0.17674933,0.42378235,-0.04038596,0.37606737,9.509923,2.3643916,0.0,-6.9012341,109.4055195
1779785234934,-1.077,10.483951,3.075,-0.070125,-0.017875,0.0979,0.4838827,-0.15397263,-0.74544144,0.3718338,9.508005,2.3727567,0.0,-6.9012341,109.4055195
1779785234945,0.97005004,9.229051,2.196,-0.0924,-0.041249998,0.0105875,-1.4488338,0.9759455,0.7022433,0.37990877,9.509055,2.3672633,0.0,-6.9012341,109.4055195
1779785234954,0.82905006,9.30795,2.8950002,-0.0658625,-0.0050875,0.047849998,0.5901413,-0.2800045,-0.17126322,0.37990877,9.509055,2.3672633,0.0,-6.9012341,109.4055195
1779785234964,-0.75600004,10.06995,1.542,0.0757625,0.0427625,0.0191125,0.43861318,-0.19675064,0.51201487,0.37861192,9.509182,2.3669584,0.0,-6.9012341,109.4055195
1779785234981,-0.25305,9.379951,2.565,-0.14135,-8.25E-4,0.0446875,-1.134612,0.5607681,-0.8249583,0.37861192,9.509182,2.3669584,0.0,-6.9012341,109.4055195
1779785234985,0.66795003,9.00195,3.58995,0.0012375,0.031075,0.0276375,0.28591266,-0.5008373,1.1979952,0.38203737,9.502788,2.391955,0.0,-6.9012341,109.4055195
1779785234995,0.079050004,10.165951,1.48905,-0.0988625,-0.033825,0.0042625,-0.30227923,0.66184616,-0.89778197,0.38132924,9.504105,2.386832,0.0,-6.9012341,109.4055195
1779785235005,0.87195003,8.913,2.60805,0.076725,0.02585,0.0202125,-0.30227923,0.66184616,-0.89778197,0.38132924,9.504105,2.386832,0.0,-6.9012341,109.4055195
1779785235015,-0.88305,10.635,2.6800501,-0.04235,0.0705375,0.0169125,0.4838465,-0.59058285,0.22023082,0.3803194,9.503453,2.389591,0.0,-6.9012341,109.4055195
1779785235031,0.49605003,9.342,2.35605,0.0416625,-0.041249998,0.064899996,0.105642945,-0.1612606,-0.032672405,0.3904071,9.503261,2.3887224,0.0,-6.9012341,109.4055195
1779785235035,0.79695004,9.214951,3.1230001,-0.04235,-0.0210375,0.0413875,0.105642945,-0.1612606,-0.032672405,0.39773998,9.498542,2.4062212,0.0,-6.9012341,109.4055195
1779785235045,-0.483,10.09605,1.3219501,0.1247125,0.073699996,-0.0298375,0.39921007,-0.28359127,0.716779,0.3885759,9.504016,2.3860219,0.0,-6.9012341,109.4055195
1779785235061,-0.41805002,9.604951,1.87995,-0.2233,-0.0540375,0.064899996,-0.87157595,0.59203434,-1.0640718,0.37751618,9.504207,2.387035,0.0,-6.9012341,109.4055195
1779785235065,0.60300004,8.464951,4.54995,0.1469875,-0.0050875,0.0361625,0.21927062,-1.0331402,2.1396763,0.38372943,9.498091,2.4102738,0.0,-6.9012341,109.4055195
1779785235075,0.29700002,10.22805,1.01505,-0.089237496,0.0672375,0.023375,0.21927062,-1.0331402,2.1396763,0.38537887,9.5013275,2.3972178,0.0,-6.9012341,109.4055195
1779785235085,0.73800004,9.354,2.9929502,0.1087625,0.0449625,0.0776875,0.33994567,-0.14359093,0.5830319,0.39805436,9.497591,2.4099183,0.0,-6.9012341,109.4055195
1779785235096,0.22695,10.03905,1.932,-0.086075,0.081125,-0.0042625,0.33994567,-0.14359093,0.5830319,0.3949478,9.498719,2.4059875,0.0,-6.9012341,109.4055195
1779785235106,-0.873,10.312051,2.60805,-0.0924,0.0045375,0.047849998,-1.2680547,0.81271267,0.20453525,0.39505467,9.499338,2.4035149,0.0,-6.9012341,109.4055195
1779785235116,2.0329502,8.70195,2.84295,-0.115775,0.0694375,0.01265,-1.2680547,0.81271267,0.20453525,0.41264856,9.495153,2.4170558,0.0,-6.9012341,109.4055195
1779785235128,-0.08805001,10.021951,1.6980001,0.194975,0.0631125,-0.0213125,1.6203016,-0.79320335,0.42589426,0.4059511,9.500961,2.3952754,0.0,-6.9012341,109.4055195
