feature,kruskal_stat,kruskal_p,n_classes_present,Non-Event_n,Non-Event_mean,Non-Event_median,Non-Event_std,Non-Event_q25,Non-Event_q75,Pothole_n,Pothole_mean,Pothole_median,Pothole_std,Pothole_q25,Pothole_q75,Speed Bump_n,Speed Bump_mean,Speed Bump_median,Speed Bump_std,Speed Bump_q25,Speed Bump_q75,max_abs_cohen_d,mean_abs_cohen_d
score,32.09969197469198,1.0706325731099403e-07,3,48,0.1615557534063354,0.14464595044218745,0.12206879655363435,0.0819121883712578,0.2256573259132469,14,0.6491374278155961,0.6918414994749491,0.1829091945411529,0.6506869345711683,0.7618726689867398,3,0.7380138613013059,0.7261152374391362,0.037318858883513766,0.7171051992927207,0.7529732113788061,4.812273153445174,2.959072582739081
peak_gyro_mag,18.22980352980349,0.00011001412790689724,3,48,3.6800579837034015,3.426157512848521,1.853438055793243,2.3502192365133934,4.456622875515091,14,5.588828013926496,5.60197097944175,1.3845926035893703,4.307124424775659,6.209915619903402,3,6.426272711447335,6.702471123877093,0.648304179381016,6.194039998142346,6.7966046309672015,1.5089606500628145,1.076991494989376
peak_mag_g,13.82896270396273,0.0009932964964002747,3,48,7.2002855035443645,7.202949223231175,1.2619445521606454,6.4490018762778325,8.154307026354566,14,8.51452780948205,8.783158367026457,1.0967578851725595,7.627644506533832,9.31337459784942,3,8.851915791835133,8.801251191793325,0.4562204529092527,8.61219682562343,9.066302458025932,1.3326537711485131,0.909658543655348
gyro_energy,9.628829503829479,0.00811196820279536,3,48,498.8835461966012,457.5645633016536,190.8440574534796,368.2961942601042,621.9696065901908,14,627.8330990509737,652.0490381972902,146.0901539192586,506.39458841248495,758.3982679418257,3,758.5056628958906,851.439290838918,215.4099093941047,681.8341967983156,881.6439429649795,1.35284456484303,0.9642537760950506
accel_energy,9.272985347985298,0.009691629792395877,3,48,83184.42838569022,82231.97631589205,36466.688407791866,53851.42567583288,108695.78843435945,14,110661.58054760625,111061.22095706465,34064.346815478195,85438.29127544514,126604.81069239066,3,143452.0887033986,165161.81440906704,46174.629047980714,127792.72197873844,169966.31828089297,1.632697242762085,1.1032628140958638
speed_mean,7.95774945529008,0.01870667760578504,3,48,10.080649514430894,9.296768,3.164751966113304,7.8310566,12.268272,14,7.7482799642857145,7.951778349999998,1.4124459641687748,7.553205674999999,8.720400999999999,3,8.146189766666666,7.831056599999999,1.096631696586937,7.536341649999999,8.5984713,0.8106598426950404,0.5742265095904208
accel_to_gyro_ratio,4.503463203463184,0.10521687300780223,3,48,164.4533562887559,163.1467052105072,25.412775975061233,144.60803893411065,180.59320741155258,14,174.5412161806832,170.72318323319598,21.240063006624407,159.83332436896865,181.58472596314888,3,187.39190232283735,191.66649255362725,9.477805353756626,184.0980762962932,192.82302346477647,0.9189278168800423,0.6565627424747427
peak_interval_mean,2.3892877902546186,0.3028117677305356,3,48,0.4490520904461543,0.3559999465942383,0.4064120068212088,0.20162504911422724,0.6284998655319214,14,0.27699997311546687,0.2274999618530273,0.24941662318882094,0.049750010172526025,0.4378749728202819,3,0.2676666975021362,0.2750000953674316,0.08723144977124578,0.2260000705718994,0.3130000233650207,0.4552601235501424,0.31676069821491953
mag_jrk,2.375258075258074,0.3049434169966682,3,48,6.636689321031848,6.528149596446701,1.1048307046477652,5.879285350012621,7.527578957494172,14,7.032336418895983,6.9044619644211345,1.6937045467866774,5.947951862899007,8.403961437575376,3,8.063238423094894,7.155268010101009,1.6807086649483345,7.093535594846424,8.578956044846421,1.2578968561512587,0.7273909866247402
asymmetry_score,1.5429154179154239,0.4623386217068701,3,48,0.3444934939856656,0.2617127020346002,0.27122748670804875,0.12255910966631323,0.5264925261626902,14,0.250333166727086,0.160579174379595,0.2331976768207907,0.07907392517933054,0.3230816248215568,3,0.19673591521611056,0.1567044685445006,0.08088451133612624,0.15018897641112966,0.2232671306852865,0.5551942496063367,0.38574383910327414
local_duration,1.051745173009283,0.5910394062808897,3,48,0.641187509894371,0.5549999475479126,0.4853049008498537,0.22950011491775513,0.9562500715255737,14,0.5425714015960693,0.3404998779296875,0.5162141441057538,0.1287499785423279,0.6480000019073486,3,0.38466668128967285,0.2750000953674316,0.27915279418261096,0.2260000705718994,0.4884999990463257,0.5359460442416519,0.3525816826147195
event_duration,0.9273402612578331,0.628970998518209,3,48,3.302500014503797,2.540500044822693,3.6086795633074105,0.030500054359436,5.366749942302704,14,3.4780714341572354,2.3589999675750732,3.1671752138636644,1.2422499656677246,4.96575003862381,3,1.221333424250285,1.2400000095367432,0.9931316084299219,0.7295000553131104,1.7225000858306885,0.7596661816878568,0.4658280183483046
peak_interval_std,0.18206484873149678,0.9129881073590135,3,48,0.068882409174664,0.0,0.12376135918623286,0.0,0.08712509274482724,14,0.07084760775791007,0.0,0.13748390845536557,0.0,0.07753190373107514,3,0.025999983151753735,0.0,0.04503329181477226,0.0,0.0389999747276306,0.35279577754113023,0.23860937909852828
num_peaks_accel,0.1147001363597071,0.9442634549121363,3,48,2.1666666666666665,2.0,0.9070253775176265,2.0,3.0,14,2.2857142857142856,2.0,1.0690449676496974,1.25,3.0,3,2.3333333333333335,2.0,0.5773502691896258,2.0,2.5,0.1860229012084572,0.1196252852972422
num_peaks_gyro,0.06761802708940542,0.9667561243323382,3,48,3.7708333333333335,4.0,1.2070640190558621,3.0,5.0,14,3.7142857142857144,3.5,0.8254203058555569,3.0,4.0,3,3.6666666666666665,3.0,1.1547005383792515,3.0,4.0,0.08644742701707307,0.06352796654969889
