event_id,time_s,lat,lon,peak_mag,peak_vertical,peak_mag_g,peak_vertical_g,peak_gyro_mag,speed_mean,event_duration,vert_jrk,level,num_peaks_accel,num_peaks_gyro,peak_interval_mean,peak_interval_std,asymmetry_score,vertical_energy,gyro_energy,accel_to_gyro_ratio,local_duration,top2_peak_ratio,duration_above_threshold,max_jerk,peak_to_peak,fft_high_low_ratio,zcr,kurtosis,skewness,gyro_pitch_energy,gyro_roll_energy,gyro_yaw_energy,gyro_pitch_roll_ratio,energy_psd_2_10,speed_vert_interaction,speed_normalized_p2p,horizontal_to_vertical_ratio,grav_y_std,grav_z_std,linear_jerk_3d_max,snr_vertical,crest_factor,hjorth_activity,hjorth_mobility,hjorth_complexity,corr_xy,corr_xz,corr_yz,impulse_factor,clearance_factor,shape_factor,time_center_of_mass,min_z_to_max_z_ratio,first_peak_polarity,rise_time_ratio,peak_asymmetry,waveform_complexity,trip_id,suggested_label,suggested_raw_label,suggested_kind,suggestion_confidence,suggestion_rule,suggestion_reason,needs_review,speed_factor,score,priority,label,brake_to_bump_ratio,down_up_asymmetry
223,1779784258.08,-6.8951518719954645,109.40791108004537,11.019785551672722,-0.4257345941333019,1.12370539905806,-0.0434128468063306,0.2005737768714484,1.6885836740362812,0.0,2.975944692708694,normal,0,0,0.0,0.0,0.9999996589492645,2.9321140667711174,0.40497031241386666,7.240300675358946,0.09999990463256836,0.0,0.0,2.975944692708694,0.17841729174949478,0.0,0.0,-1.5042391653858251,-0.20564665467789306,0.1608242022995383,0.07057681649408444,0.1735692936202438,2.2786791982012926,0.0,4.951652761747086,0.06635658591544456,72.40868079367344,0.0003817720284046116,0.004165259911524157,367.9913738919,1.0,1.1776401909363279,0.004273191947970611,0.13474219363473605,5.31440129373414,0.9999983387062003,-0.9999999994499147,-0.9999982776961321,1.1871946573423555,1.192017288806875,1.0081112779722392,0.04601834612432412,0.0,1.0,0.0,0.9999996097476163,0.9999943951935074,16b2f79d-1072-47bc-857d-326afb027ea2,Non-Event,Non-Event,condition_like,0.9909297317512212,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 99%),False,1.2722492415005942,0.0103990662053435,low,Non-Event,0.12519099969043812,100.0
224,1779784363.8,-6.8951272,109.4078054,9.68893423317256,0.2657303182641546,0.9879963324042932,0.0270969513813743,0.0484061131455723,1.4588841,0.059999942779541,10.359809903892227,normal,0,0,0.0,0.0,0.9999971950419252,2.2520863747913875,1.5092272366790418,1.492210601457442,1.3900001049041748,0.0,0.0,16.030478313478696,0.6669806723284617,0.0,0.13768115942028986,0.384432910201737,-1.5497881177671815,0.4863544186749583,0.3430984920556567,0.6797743259484266,1.417531736234874,0.0,3.2855330040097965,0.27125339999899206,98.13289110575943,0.024863489420536736,0.06579867289863524,433.7118637591178,1.0,3.078963398465791,0.01578460897871199,0.3570169846577195,1.8266229392107984,-0.5036136059541888,-0.17078493488376284,-0.5350568385111718,3.819684715124272,4.505431813973578,1.240565190554381,0.6739598492826526,-1.437369104430649,1.0,0.0,0.9999995232138034,9.767482518349519,16b2f79d-1072-47bc-857d-326afb027ea2,Non-Event,Non-Event,condition_like,0.9955761564323208,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 100%),False,1.29571904238132,0.0865454606375488,low,Non-Event,10.96872106487225,0.9288860974424679
225,1779784365.44,-6.8951272,109.4078054,10.352383870713112,0.1665878641225667,1.0556493675937362,0.0169872345931145,0.2786775631778597,1.4588841,0.059999942779541,74.07378818248372,normal,0,0,0.0,0.0,0.3030128284570461,25.578780390867426,33.63592351648396,0.7604601555795509,1.9900000095367432,0.0,0.04999995231628418,74.07378818248372,3.34796198025689,0.0,0.115,24.711480630381537,-0.842574417266032,18.30690720183188,1.1818283716060176,14.147187943046063,15.490313273357021,0.0,37.31647600962827,1.3615777906152187,18.206404138889482,0.020220390470621175,0.057919245718083656,1887.4067503640715,1.0,7.628564118840077,0.1277935542168465,0.2893509496562302,2.2949038816248915,-0.5132619279781754,-0.368538814214754,-0.39971804560399005,15.581892758651648,22.305319542485194,2.042566457495669,-0.571946433904814,-4.4016073600122265,-1.0,50.0,-0.999999944860914,3.8889988609195996,16b2f79d-1072-47bc-857d-326afb027ea2,Non-Event,Non-Event,condition_like,0.9860220428738752,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 99%),False,1.29571904238132,0.1377687381890556,low,Non-Event,10.230734202543962,6.469918874260794
226,1779784366.51,-6.8951272,109.4078054,21.754313248587348,-0.6304551350776388,2.2183225921785064,-0.0642885322793858,0.3872727880905714,1.4588841,0.059999942779541,164.28242301104729,normal,0,0,0.0,0.0,0.20032994066601467,303.0121032087125,70.14693194968235,4.319677147197134,1.9900000095367432,0.0,0.059999942779541016,164.28242301104729,7.5075281008071855,0.0,0.1,2.0350811721947855,-0.7342643585375358,28.3238501715599,6.158365775741616,35.66471600238083,4.599247041136004,0.0,442.0595394787496,3.053225689168183,53.107574365689615,0.06804395597969946,0.2767812602587439,6633.642752623553,1.0,3.4263241434096843,1.4240075556874654,0.39986271542973645,1.620782751781178,-0.9300435462123425,0.08398720737214964,-0.34294526301357536,5.64391977949107,8.555588176945516,1.6472216165159697,-0.46189513607135935,-1.2818274352114976,-1.0,15.583332034722332,-0.8109838887360826,100.0,16b2f79d-1072-47bc-857d-326afb027ea2,Non-Event,Non-Event,condition_like,0.9678020751068392,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 97%),False,1.29571904238132,0.2009015578507214,low,Non-Event,12.270776366236248,4.772039657038327
227,1779784369.59,-6.8951272,109.4078054,34.2182614143083,5.929323030081842,3.489291594408723,0.6046226825757871,2.3220164709929385,1.4588841,0.0299999713897705,187.52736475825097,normal,0,0,0.0,0.0,0.3713145403182262,907.1594720685076,371.72704321614333,2.4403913736796436,1.989999771118164,0.0,0.029999971389770508,187.52736475825097,11.399936308274604,0.0,0.11,0.29285647390997527,0.0032522351389915284,158.43667703643118,39.76826945846728,173.52209672124485,3.9839971718633684,0.0,1323.4405299651398,4.636223524433139,105.07245828085074,0.1324388005210141,0.5644116698038818,8951.607096709153,1.0,2.7840567618863195,4.4427930581734065,0.29361316646483837,2.7752544537868604,-0.8513828059616991,-0.5022869427601103,0.10973806723457383,3.6459084169981435,4.483820513619361,1.3095662254481308,-0.45227487101364683,-0.9226369229339034,1.0,2.7547169291562845,-0.23602809628348417,100.0,16b2f79d-1072-47bc-857d-326afb027ea2,Non-Event,Non-Event,condition_like,0.9739333231199044,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 97%),False,1.29571904238132,0.2606522882160011,low,Non-Event,16.268978665099386,1.6034708186304076
228,1779784371.42,-6.8951272,109.4078054,31.29914612690781,1.0786509568252365,3.1916246757973226,0.1099917868818848,1.3969539651617908,1.4588841,0.059999942779541,278.2798438990595,normal,0,0,0.0,0.0,0.12882566655549044,1340.7214771601405,402.28705010718346,3.33274827879788,1.9900000095367432,0.0,0.029999971389770508,278.2798438990595,16.91718999516587,0.0,0.085,2.3339608697583163,0.5134048527547037,186.46746449859518,61.19672619322083,154.6228594153675,3.047016941115953,0.0,1955.9572455574419,6.880027405588524,70.86019651234572,0.1002899691997653,1.009526893507581,10525.243561709536,1.0,3.3413864314028956,6.58656798154023,0.270169675882141,2.972500333014674,-0.6861646171857136,-0.7553625451729725,0.2741507328894255,4.655758813611448,5.776443668982516,1.393360843170981,-0.2157827441105406,-0.9554514803459022,1.0,2.0615384298224857,-0.40012076715197514,24.265071652922355,16b2f79d-1072-47bc-857d-326afb027ea2,Non-Event,Non-Event,condition_like,0.8214548983241559,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 82%),False,1.29571904238132,0.3183646432930379,medium,Non-Event,4.391422017812156,1.20901372950042
229,1779784373.69,-6.8951272,109.4078054,43.59155134624411,-3.0295082440290804,4.445101165662496,-0.3089238673786747,3.24293422538289,1.4588841,0.0199999809265136,252.7747257210833,normal,0,0,0.0,0.0,0.2937714390262083,812.6468069756452,102.91007161114726,7.896669260416195,1.9900000095367432,0.0,0.019999980926513672,252.77472572108334,11.890003117945612,0.0,0.115,0.8462481035471119,0.13061536348470604,11.73247888154833,73.24971085381867,17.927881875780265,0.16017099022808906,0.0,1359.0599340424376,4.449207108045954,57.92142322325043,0.07637616646707508,0.4087194686669357,7095.2307335662035,1.0,2.9519306284405613,4.052888253314683,0.40868322636159604,1.4402278567935842,-0.13299024981809057,-0.3487112720058705,-0.6115808467123254,3.9635697879991643,4.891443158376087,1.3427035796536757,-0.19028953755129938,-1.0017996950756274,1.0,1.7638888643904325,-0.07676748415135813,45.61207481743195,16b2f79d-1072-47bc-857d-326afb027ea2,Non-Event,Non-Event,condition_like,0.6836847780049082,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 68%),True,1.29571904238132,0.3297412565424659,medium,Speed Bump,9.81586569286799,0.9100378895402675
230,1779784379.15,-6.895065,109.4075417,6.964231299727205,-0.7165954757135359,0.7101539567260181,-0.0730724024731723,0.8084292007691521,2.0398443,0.0,190.8834759020164,normal,0,0,0.0,0.0,0.2090159055902959,445.25743973348517,99.7923863525643,4.461837736784475,1.9900000095367432,0.0,0.0,190.88347590201641,6.673182089500169,0.0,0.11,-0.42296576367376604,-0.5780635608730317,14.505057746832312,58.13736831660167,27.1499602891303,0.24949628642192892,0.0,908.255850472943,2.195238121077507,122.37577339714157,0.12083098470363124,0.23987501919445633,6604.5919834377955,1.0,2.681477192784377,2.0124862323595245,0.39527712991093544,1.6608063936252995,-0.7064400760907277,-0.3118828961012724,-0.28642800002145163,3.3163707260884636,3.86444455040214,1.2367692376265054,0.08395949200522397,-1.4972470083471343,-1.0,0.8425925847908095,0.10821266015904778,97.41899694318212,16b2f79d-1072-47bc-857d-326afb027ea2,Non-Event,Non-Event,condition_like,0.969132304890119,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 97%),False,1.2399100713517115,0.1517518223797155,low,Non-Event,30.47429231336303,3.0004839942320127
231,1779784380.45,-6.895065,109.4075417,25.85592707400727,-3.918308836900895,2.636570803894018,-0.3995563048442531,1.8482489052986075,2.0398443,0.0299999713897705,186.85936896824185,normal,0,0,0.0,0.0,0.12846820313415255,495.5153639653894,199.40071465274295,2.485022996749576,1.9900000095367432,0.0,0.04999995231628418,186.85936896824182,6.8466651781367975,0.0,0.14,-0.6500183805013142,-0.40868844060991316,20.108338386793612,147.7496548064089,31.542721459540445,0.1360973619670617,0.0,1010.7741907472247,2.25230784949637,216.38637824853427,0.07086292683708106,0.23384377511642956,11439.458935342842,1.0,2.4893434708320306,2.3199706795861403,0.43705794376141344,1.6679749802101846,-0.48667548641982883,-0.3563432120572062,-0.4856522780093771,3.0313280088844468,3.5082364197731786,1.2177211054110555,-0.0961133877421932,-1.3380569310052808,-1.0,1.3690476027494334,-0.06108887536771092,100.0,16b2f79d-1072-47bc-857d-326afb027ea2,Non-Event,Non-Event,condition_like,0.9831363627745424,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 98%),False,1.2399100713517115,0.2294304211563312,low,Non-Event,43.075231527846114,2.376171279987208
232,1779784382.38,-6.895065,109.4075417,49.62374245689948,-0.1750889307265924,5.060213473194157,-0.0178541021374875,1.8626629333591205,2.0398443,0.0299999713897705,181.19351048683475,normal,0,0,0.0,0.0,0.5818250886181856,467.24301151430404,175.11460581113352,2.6682126638255825,1.9900000095367432,0.0,0.039999961853027344,181.19351048683475,7.5687476432258745,0.0,0.13,-0.28036857835357454,-0.08925868938877299,21.566145788783935,110.81124485045135,42.73721517189824,0.19462055158092145,0.0,953.1029937522873,2.4898471422453694,195.8820391617401,0.08757052843408959,0.30716870746323666,7846.122281699675,1.0,3.274907556317149,2.0352433812450017,0.43881938177709384,1.5269697187731344,-0.6171553423883325,-0.2494052404215545,-0.44765286760609607,4.099432161212583,4.79656306243643,1.2517695259074109,-0.9594651650252827,-1.9529051862375275,-1.0,50.0,-0.9999999977385134,39.54298898370229,16b2f79d-1072-47bc-857d-326afb027ea2,Non-Event,Non-Event,condition_like,0.9807303408091224,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 98%),False,1.2399100713517115,0.2265135802780554,low,Non-Event,36.2949838579062,4.690892234155461
