event_id,time_s,lat,lon,peak_mag,peak_vertical,peak_mag_g,peak_vertical_g,peak_gyro_mag,speed_mean,event_duration,vert_jrk,level,num_peaks_accel,num_peaks_gyro,peak_interval_mean,peak_interval_std,asymmetry_score,vertical_energy,gyro_energy,accel_to_gyro_ratio,local_duration,top2_peak_ratio,duration_above_threshold,max_jerk,peak_to_peak,fft_high_low_ratio,zcr,kurtosis,skewness,gyro_pitch_energy,gyro_roll_energy,gyro_yaw_energy,gyro_pitch_roll_ratio,energy_psd_2_10,speed_vert_interaction,speed_normalized_p2p,horizontal_to_vertical_ratio,grav_y_std,grav_z_std,linear_jerk_3d_max,snr_vertical,crest_factor,hjorth_activity,hjorth_mobility,hjorth_complexity,corr_xy,corr_xz,corr_yz,impulse_factor,clearance_factor,shape_factor,time_center_of_mass,min_z_to_max_z_ratio,first_peak_polarity,rise_time_ratio,peak_asymmetry,waveform_complexity,brake_to_bump_ratio,down_up_asymmetry,trip_id,suggested_label,suggested_raw_label,suggested_kind,suggestion_confidence,suggestion_rule,suggestion_reason,needs_review,speed_factor,score,priority,label
197,1779784365.46,-6.8951272,109.4078054,10.207367048989914,0.0171957129220435,1.0408617671671687,0.0017534747260321,0.1121396803887901,1.4588841,0.0399999618530273,335.891001616813,normal,0,0,0.0,0.0,0.28040923540353996,302.085552880954,52.57276872985403,5.746045993643196,2.0,0.0,0.009999990463256836,539.7122321880396,13.861229035687748,0.0,0.25870646766169153,16.11509290564092,-0.435307630034933,3.433888746282629,25.804895092562454,23.33398489100894,0.13307120997368993,0.0,440.70780993773303,5.637203085614221,23.044419276179838,0.01894857315406623,0.05855139787326262,5767.09997071073,1.0,6.994506857104746,1.4974982457667607,0.8816139998383727,1.315127216047012,-0.7944546888958949,-0.38268027653288955,-0.06048463288105894,14.91822707067057,23.735822734377606,2.132847276667805,-0.46178318272863716,-1.6220437763042264,-1.0,50.0,-0.9999999956247472,12.685835053285507,2.296711544302833,1.5206139883807896,16b2f79d-1072-47bc-857d-326afb027ea2,Non-Event,Normal,condition_like,0.92,R6,amplitudo rendah + tidak ada struktur event → Non-Event,False,1.29571904238132,0.2742822797234239,low,Non-Event
198,1779784366.48,-6.8951272,109.4078054,25.88593217214057,4.173151407602966,2.6396304723978705,0.4255430149544407,0.8550227024124126,1.4588841,0.0499999523162841,734.3066894892679,normal,0,0,0.0,0.0,0.15774806355115562,1545.67748215469,130.41699643632194,11.851810059569807,2.0,0.0,0.04999995231628418,1070.5868483181068,16.89227595341592,0.0,0.31840796019900497,2.051342260330924,-0.05048868101336776,15.661019416988417,66.30135881322613,48.454618206107384,0.23620962618423216,0.0,2254.9643024435113,6.869895150168289,22.15884449066003,0.1052045294755046,0.394233033065159,6633.642752623553,1.0,3.110638464331165,7.689879910126634,0.8975088088563598,1.4411265329282599,-0.9306325976452319,0.15850201840933453,-0.4292138483173585,4.965708085112387,7.371708559104893,1.5963624032062984,-0.35345229197699235,-1.0435250479805591,-1.0,3.545454464876035,-0.7601212120731821,100.0,1.1524189989710183,1.0226357558133514,16b2f79d-1072-47bc-857d-326afb027ea2,Non-Event,Normal,condition_like,0.92,R6,amplitudo rendah + tidak ada struktur event → Non-Event,False,1.29571904238132,0.3608586720501013,medium,Non-Event
199,1779784369.54,-6.8951272,109.4078054,35.19181518256825,10.722266300731306,3.5885664505787656,1.0933668786722588,1.8708421538269069,1.4588841,0.0199999809265136,1166.074036083614,normal,0,0,0.0,0.0,0.5687134304425125,2179.0130384755576,409.6031433880403,5.319815212188057,2.0,0.0,0.04999995231628418,1257.491086047175,21.27058581509954,0.0,0.32338308457711445,1.2006093516064666,0.08589381705060926,49.27246628770848,158.7871720496119,201.54350505071992,0.31030507906525706,0.0,3178.9274755246793,8.650503622801716,38.26475643841685,0.13563796073069959,0.7163680493041228,9224.75676177416,1.0,3.601571053323599,10.823245147397385,1.0548969871954221,1.3573612569660536,-0.8061174628793215,-0.49334070031360533,0.05848107369652207,4.609408529025798,5.368582729927403,1.2798323456148462,0.014666130252643201,-0.7937232192864065,-1.0,0.9801980100970494,0.2398196669924267,100.0,7.469032497125045,0.9646568868585413,16b2f79d-1072-47bc-857d-326afb027ea2,Non-Event,Non-Event,condition_like,0.9261705193950456,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 93%),False,1.29571904238132,0.4339107237190867,medium,Non-Event
200,1779784371.67,-6.8951272,109.4078054,38.517127788214665,-2.615325925086669,3.927653968298519,-0.2666890248032375,1.3969539651617908,1.4588841,0.0099999904632568,1904.4825951786763,normal,0,0,0.0,0.0,0.11608245295075342,3535.4273091424902,279.02219394285817,12.670774487551148,2.0,0.0,0.0,1441.5096322536863,21.53637645849315,0.0,0.2935323383084577,0.2677077961185059,-0.6677306070251579,46.113969031724864,122.12771631247016,110.78050859866316,0.3775880696577654,0.0,5157.778688013764,8.758597633167481,24.14096654399722,0.10835596829375867,0.696316570162625,12734.928762612644,1.0,2.623215025270927,17.58783733630731,0.8990041558867701,1.4644989007019718,-0.646034933245792,-0.6738070616620143,0.11239489063666515,3.441348984296916,4.208508116658491,1.3118818436892303,0.9723723175085558,-0.9575627512758914,-1.0,0.030927834892124563,0.8350222467100438,48.175823994809754,7.241042444623784,1.1780769972362959,16b2f79d-1072-47bc-857d-326afb027ea2,Non-Event,Non-Event,condition_like,0.8133629457345614,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 81%),False,1.29571904238132,0.3324363150094782,medium,Non-Event
201,1779784373.66,-6.8951272,109.4078054,19.338598078419004,-7.543812311689018,1.9719881996827668,-0.7692547721891796,1.5277858432291005,1.4588841,0.0099999904632568,1157.7667252341273,normal,0,0,0.0,0.0,0.25223395845241114,3357.3926152675785,102.17872422454434,32.858039752301586,2.0,0.0,0.019999980926513672,1217.1800399587626,25.345165440767868,0.0,0.23383084577114427,0.5495227315530373,-0.23482324468045246,71.87791351399258,18.80735589790412,11.493454812647647,3.8217977094911517,0.0,5727.741887893149,9.366253328881912,15.89130057191605,0.0719823950166026,0.28421558597448665,7576.3495242260715,1.0,3.6617679792908526,16.699367564294775,0.6660822188238892,1.288085879736258,-0.0675657892967465,-0.3776866907867991,-0.6327719929000855,4.714763082320985,5.703985926960879,1.2875643556285934,-0.16231352992924553,-1.4418315042040122,-1.0,1.272727258264463,-0.2620359205843526,100.0,12.740410793335638,1.017020424663231,16b2f79d-1072-47bc-857d-326afb027ea2,Non-Event,Non-Event,condition_like,0.8764202616197512,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 88%),False,1.29571904238132,0.3380870268682223,medium,Speed Bump
202,1779784380.59,-6.895065,109.4075417,32.75226186420024,3.3450365874429195,3.3398012434623685,0.3410988041219907,1.631812501268049,2.0398443,0.0899999141693115,829.2106033336197,normal,0,0,0.0,0.0,0.08294399671673996,2915.289921268705,202.81615886045324,14.374051472400213,2.0,0.0,0.04999995231628418,780.4532234555898,20.945460705624438,0.0,0.23880597014925373,-0.20978939335245617,0.25264171594330637,148.53964766664407,32.853012868297505,21.423498325511666,4.521340059153046,0.0,5946.737528747415,6.89030708106479,39.65012313738004,0.05547138751839503,0.26359123027713044,10672.131485951559,1.0,2.9139409502635276,14.502925447437166,0.7955072639075669,1.176372456113214,-0.3852227379291101,-0.4158401861195431,-0.49140682284350845,3.614100278009888,4.217495473850653,1.2402788494058712,-0.2362530184723437,-0.88740973724741,1.0,1.5974025766571094,-0.36268142730268094,98.94135913072382,30.76892101043146,1.0936294046247859,16b2f79d-1072-47bc-857d-326afb027ea2,Non-Event,Non-Event,condition_like,0.9065955506276584,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 91%),False,1.2399100713517115,0.4270171727656574,medium,Non-Event
203,1779784382.38,-6.895065,109.4075417,49.62374245689948,-2.088238649248168,5.060213473194157,-0.2129410807205486,1.8626629333591205,2.0398443,0.059999942779541,877.1373314329371,normal,0,0,0.0,0.0,0.23594185349224878,2296.3330565313518,186.41979209874285,12.318075341468864,2.0,0.0,0.059999942779541016,750.8429169772982,19.826183289548652,0.0,0.23383084577114427,0.23637673645976598,0.42662657125302517,125.84939751161673,40.72502559331279,19.845368993813302,3.0902225987074416,0.0,4684.1618962670545,6.522104862261746,42.72376627887881,0.08539416663982478,0.3068728106536885,10672.131485951559,1.0,3.182438631710532,11.409265576153965,0.7536878640177027,1.222630784880842,-0.5977306756308632,-0.24649344113675642,-0.4745476403471244,4.026662092136486,4.75720272284264,1.2652752705744499,0.02165774831798183,-0.8431450830284852,1.0,0.9047618961451248,-0.1983818102306771,100.0,26.103146721458664,1.081484245847246,16b2f79d-1072-47bc-857d-326afb027ea2,Non-Event,Non-Event,condition_like,0.8976669221083341,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 90%),False,1.2399100713517115,0.3993610319567382,medium,Non-Event
204,1779784389.88,-6.8951317,109.4083067,80.89048035526795,11.48255629704021,8.248533429383935,1.1708948822523706,2.949012795475187,7.0352235,0.0699999332427978,2138.9664034544803,normal,0,0,0.0,0.0,0.42592348234200783,5373.207883322224,308.74131487764106,17.403591961924878,2.0,0.0,0.06999993324279785,1440.2093435240226,39.914470269101145,0.0,0.2537313432835821,4.011865025154379,-0.5296653141350992,222.44010960475993,47.60036304206189,38.70084223081925,4.673075806903525,0.0,37801.71837113377,4.967437466935567,29.225087687883047,0.1491226563123955,0.13506183546043388,17728.608481926127,1.0,4.332512789494137,26.728724292818036,0.765116450190404,1.2982795278136439,-0.14583088064282881,-0.5379266227692513,-0.5337539761078525,6.504539851534981,8.418307936775582,1.5013316542904027,0.13119730499406623,-1.2790142980725827,1.0,0.7699114976114027,0.45987488125539006,100.0,20.109344126647024,0.9023681671221379,16b2f79d-1072-47bc-857d-326afb027ea2,Non-Event,Non-Event,condition_like,0.7446861113971863,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 74%),True,1.0397228916912753,0.4828771832064421,medium,Speed Bump
205,1779784392.19,-6.8951317,109.4083067,29.03402815950723,3.3278717026664166,2.960646924230724,0.3393484729919409,1.169050538381067,7.0352235,0.059999942779541,956.3030704748792,normal,0,0,0.0,0.0,0.1386931354583889,1908.1148466231866,185.4436636578273,10.289458257546617,2.0,0.0,0.04999995231628418,805.5535686494941,16.332633355413726,0.0,0.22885572139303484,-0.3744221301498336,-0.01158951948871383,139.6389273305154,28.508873234598198,17.295863092713688,4.898086335554086,0.0,13424.014409662337,2.032629628213045,60.73249837238222,0.38539602595589395,0.2190342312340692,10243.604055336395,1.0,2.82470134727133,9.493097388162179,0.8614961268748154,1.3267592846957217,-0.475398492446698,-0.163056319734472,-0.6250328654126371,3.502621835395987,4.136228893647822,1.2399968237232997,0.5816762200215705,-1.1407282979023647,-1.0,0.22699386363807447,0.5075728391042592,100.0,44.83595365192074,1.0323872972102548,16b2f79d-1072-47bc-857d-326afb027ea2,Non-Event,Non-Event,condition_like,0.9024481780657408,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 90%),False,1.0397228916912753,0.3108441792229373,medium,Non-Event
206,1779784396.58,-6.8952257,109.4091125,29.90969373326656,-4.042789925244781,3.049939962501625,-0.412249843243593,1.482478356134163,10.8013115,0.0199999809265136,966.3183837270652,normal,0,0,0.0,0.0,0.16123823073419408,2536.6555128961377,157.88569012413615,16.066405352095625,2.0,0.0,0.029999971389770508,897.6462466327367,19.016481257963243,0.0,0.26865671641791045,0.031207465278615842,0.2716398210477053,122.02869854181228,21.83175004919362,14.025241533130249,5.58950577380826,0.0,27399.20636298345,1.6113871121835268,37.67735621986962,0.21496510053038512,0.3633196025291523,9622.682089099857,1.0,2.9096501234795618,12.614277280112924,0.8280235414586616,1.1414590617992624,-0.3469603623116727,-0.3696713498107405,-0.5761844384179926,3.6234374016009623,4.228438950342512,1.2453168689906167,0.07235484009988452,-0.8397403400360974,1.0,0.8867924444642222,-0.08956824196126703,100.0,28.10255429084502,0.9273189651228793,16b2f79d-1072-47bc-857d-326afb027ea2,Non-Event,Non-Event,condition_like,0.8890280004746415,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 89%),False,1.0,0.2694159261309857,low,Non-Event
