timestamp,ax,ay,az,magnitude,gx,gy,gz,lat,lon,alt,speed,accuracy,bearing
1776325438670,0.95100003,10.38105,1.3770001,8.412058,,,,-6.8953196,109.4101356,34.39999771118164,0.0,15.454,0.0
1776325438671,-0.39000002,9.529051,4.32705,10.060603,,,,-6.8953196,109.4101356,34.39999771118164,0.0,15.454,0.0
1776325438672,1.61205,8.97105,1.59195,9.414293,,,,-6.8953196,109.4101356,34.39999771118164,0.0,15.454,0.0
1776325438672,1.5450001,8.568001,2.9190001,9.228855,,,,-6.8953196,109.4101356,34.39999771118164,0.0,15.454,0.0
1776325438673,-0.28695002,9.93795,3.0169501,10.157582,,,,-6.8953196,109.4101356,34.39999771118164,0.0,15.454,0.0
1776325438673,0.84795004,8.865001,3.58695,9.712078,,,,-6.8953196,109.4101356,34.39999771118164,0.0,15.454,0.0
1776325438673,1.8610501,10.318951,2.079,10.494056,,,,-6.8953196,109.4101356,34.39999771118164,0.0,15.454,0.0
1776325438701,-0.15705001,9.831,3.0940502,10.344882,,,,-6.8953196,109.4101356,34.39999771118164,0.0,15.454,0.0
1776325438701,0.91200006,9.114,3.0270002,9.786364,,,,-6.8953196,109.4101356,34.39999771118164,0.0,15.454,0.0
1776325438701,1.9759501,9.967051,2.28195,10.288564,,,,-6.8953196,109.4101356,34.39999771118164,0.0,15.454,0.0
1776325438702,1.0489501,10.408051,1.4460001,10.505907,0.0479875,-0.0111375,0.0385,-6.8953196,109.4101356,34.39999771118164,0.0,15.454,0.0
1776325438721,-0.648,9.571951,4.22205,10.48661,0.0097624995,0.0144375,-0.037125,-6.8953196,109.4101356,34.39999771118164,0.0,15.454,0.0
1776325438722,1.71,8.872951,1.9969501,9.500723,-0.04675,0.060225,-0.0169125,-6.8953196,109.4101356,34.39999771118164,0.0,15.454,0.0
1776325438738,1.64295,8.6310005,2.598,9.22978,0.0342375,-0.0154,0.047025,-6.8953196,109.4101356,34.39999771118164,0.0,15.454,0.0
1776325438749,-0.73200005,9.831,3.5010002,10.2150955,-0.0169125,-0.005775,-0.0094875,-6.8953196,109.4101356,34.39999771118164,0.0,15.454,0.0
1776325438752,1.1329501,9.07905,2.7970502,9.696984,0.014025,-0.0196625,0.02145,-6.8953196,109.4101356,34.39999771118164,0.0,15.454,0.0
1776325438771,1.9060501,9.859051,2.70795,10.259663,0.014025,-0.0196625,0.02145,-6.8953196,109.4101356,34.39999771118164,0.0,15.454,0.0
1776325438777,0.8880001,10.633051,1.30005,10.651113,0.014025,-0.0196625,0.02145,-6.8953196,109.4101356,34.39999771118164,0.0,15.454,0.0
1776325438782,-0.44895002,9.672001,3.834,10.461319,0.02035,0.010175,-0.036025,-6.8953196,109.4101356,34.39999771118164,0.0,15.454,0.0
1776325438801,1.6620001,8.877001,2.0310001,9.497704,-0.045649998,0.0496375,-0.0072875,-6.8953196,109.4101356,34.39999771118164,0.0,15.454,0.0
1776325438802,1.6500001,8.571,2.529,9.169441,0.02145,-0.0185625,0.047025,-6.8953196,109.4101356,34.39999771118164,0.0,15.454,0.0
1776325438814,-0.99105006,9.804001,3.5269501,10.206797,-0.0158125,-0.006875,-9.625E-4,-6.8953196,109.4101356,34.39999771118164,0.0,15.454,0.0
1776325438839,1.14195,8.89395,3.4750502,9.734779,-0.014712499,0.0155375,-0.0584375,-6.8953196,109.4101356,34.39999771118164,0.0,15.454,0.0
1776325438839,2.46,10.03905,1.7860501,10.338346,0.0352,-0.036575,0.0171875,-6.8953196,109.4101356,34.39999771118164,0.0,15.454,0.0
