window_start,window_end,mag_mean,mag_std,mag_max,mag_rms,mag_jrk,lat_mean,lon_mean,speed_mean,gyro_mag_mean,gyro_mag_max,gyro_mag_jrk,gyro_x_std,gyro_y_std,gyro_z_std,trip_id,label,event_id
1775972261.916,1775972262.916,23.54418424444445,12.82018683608357,81.670135,26.80831591593244,8.000978935025381,-6.899016699999998,109.40690500000002,9.420445999999998,1.1238187211653634,4.460316479321147,0.4240461989907502,0.992871904710338,0.7951935473895398,0.4567907341588991,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1
1775972262.416,1775972263.416,22.239117485353532,9.304885504863808,61.352005,24.107244570584623,6.968304867005076,-6.899016699999998,109.40690500000002,9.420445999999998,0.9969946949731264,2.4742555929132504,0.335706439098301,0.7818581588704948,0.6619872282842391,0.40067870839544,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1
1775972270.916,1775972271.916,25.566819953846156,10.473536601250224,74.32129,27.62892056324521,7.542415860824742,-6.897905300000001,109.4069794,12.110077999999996,1.215130589224325,3.810868214007308,0.3751270260239367,0.9523169473826238,0.8153671431341374,0.4861311926317552,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2
1775972271.416,1775972272.416,22.99169996767677,9.290540571665131,62.245552,24.79783078249837,7.3470812883248735,-6.8979053000000015,109.4069794,12.110077999999996,1.0548315440405809,2.756230992734916,0.3337709533984815,0.7950713392020949,0.7284993336737191,0.4774408366834236,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2
1775972280.916,1775972281.916,25.18992284900001,11.778285470872271,64.76665,27.80755691843376,7.96250468643216,-6.8968191,109.4070534,11.824939,1.1772971631447189,4.125696239509159,0.3809998352343656,0.9656329696230652,0.8643876596213586,0.470642674144708,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,3
1775972281.416,1775972282.416,21.20163699282051,8.46666491442272,52.778137,22.829669860697766,6.669342092783506,-6.8968191,109.4070534,11.824939000000002,0.8936329881324562,2.57319910648642,0.305381757550078,0.6613229461365266,0.6212624546389027,0.4315551604409153,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,3
1775972290.416,1775972291.416,21.1280091875,8.110403709726986,53.13001,22.631204576023737,6.449026,-6.8957427,109.40712770000002,9.986261,1.0173335873456466,2.3291741018478525,0.2982182110826449,0.7519363909193255,0.6518425814987787,0.4681717997678519,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,4
1775972290.916,1775972291.916,26.138865329081632,12.514676922454306,77.301605,28.980293634904328,7.929255794871794,-6.8957427,109.40712770000005,9.986261,1.2821426828698814,4.451777515077546,0.3736776764009821,1.156039391142216,0.6727492724156519,0.586179877477237,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,4
1775972298.416,1775972299.416,24.091554371,11.405698859784268,63.94198,26.655073785133915,8.54511649045226,-6.8947717,109.40716330000004,10.447317,1.1930569165787963,3.595918438791055,0.3716783099438637,1.026022983147176,0.6783158649721568,0.5168206846736677,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,5
1775972298.916,1775972299.916,22.45580455879397,10.288478729893956,61.95862,24.70052535793991,7.618609563636364,-6.894771699999999,109.40716330000004,10.447317000000002,1.13158111868988,3.595918438791055,0.3371323331450755,0.9068433439102276,0.6856807719763068,0.5112171899676798,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,5
1775972310.416,1775972311.416,17.3994542745,6.103670439753417,39.580956,18.438975076927026,4.894111221105528,-6.894028300000001,109.4072067,5.6856217,0.9672352779681538,1.9868248142450808,0.2631190565394073,0.6389389052121776,0.5854192924169452,0.5584870656636158,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,6
1775972310.916,1775972311.916,19.7643884622449,9.156419678458375,51.736435,21.78235691137621,5.519473597948718,-6.8940283,109.40720669999996,5.685621699999999,0.9951645909608758,3.157895033271572,0.2654283781454744,0.6774402255392653,0.6242191930543911,0.5846350585570311,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,6
1775972322.916,1775972323.916,19.34866520808081,8.648005732566645,52.64972,21.19336803070485,6.738124551269036,-6.8933759000000006,109.4072677,3.8525774,0.9131148302936573,2.6216137821053582,0.2814768506087712,0.7680848398780968,0.5090169549073038,0.4220448709855838,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,7
1775972323.416,1775972324.416,18.43767138434344,8.231849971632812,52.64972,20.1918567752574,5.9152856690355335,-6.8933759000000006,109.4072677,3.8525774,0.8872936794836013,2.6216137821053582,0.2795487290681653,0.7361948229671639,0.4953407964470854,0.4365762966887138,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,7
1775972343.416,1775972344.416,18.7382035479798,8.416196023931494,68.00903,20.54148552852892,5.169297939086294,-6.893465099999999,109.40909710000004,14.848360000000005,0.7497496512815693,2.6869224887057124,0.2626761941805061,0.6383446996347637,0.4566780771456774,0.3646176744216607,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,8
1775972343.916,1775972344.916,18.24606636180905,8.318698448271368,68.00903,20.052922020314444,5.204068272727273,-6.893465099999999,109.40909710000004,14.848360000000005,0.7199329059691005,2.6869224887057124,0.2439774139632976,0.604523967324829,0.4629946590584252,0.3346203875852367,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,8
1775972347.416,1775972348.416,17.101445075634516,6.439098210057021,52.565235,18.273516613769328,4.871775771428571,-6.8935844,109.41035659999996,13.817241,0.6861185494912971,2.676262052942032,0.2586918677115589,0.582720924771532,0.3764412853677663,0.3512059064050871,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,9
1775972347.916,1775972348.916,16.67804742385787,6.180415506620084,52.565235,17.78636561265179,4.722610714285714,-6.8935844,109.41035659999996,13.817241,0.6533263034525036,2.676262052942032,0.2659559683025068,0.5542880491600771,0.382204280420328,0.3109581331219205,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,9
1775972355.416,1775972356.416,17.440560020408164,5.942048656242873,49.487602,18.425012240392604,5.012570692307692,-6.8935844,109.4103566,13.817240999999996,0.7218277251940165,1.6914273618382227,0.1972816401025469,0.5609640410123389,0.4127531743819367,0.3591280392938921,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,10
1775972355.916,1775972356.916,16.90099541060606,5.725064146288826,49.487602,17.844326979419787,4.724735413197969,-6.8935844,109.4103566,13.817240999999996,0.6678674941047316,1.654616298090361,0.1740069885487693,0.4942433180329685,0.4135300909133985,0.3365255504549505,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,10
1775972362.416,1775972363.416,19.11663052676768,9.706108752118272,70.256714,21.43954546637808,5.605916265989848,-6.893717899999999,109.4115986,13.326381000000003,0.7865587888515044,3.444892968289255,0.2903053938422291,0.7308446176355451,0.5505036202319751,0.349710588459657,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,11
