event_id,time_s,lat,lon,peak_mag,peak_vertical,peak_mag_g,peak_vertical_g,peak_gyro_mag,speed_mean,event_duration,vert_jrk,num_peaks_accel,num_peaks_gyro,peak_interval_mean,peak_interval_std,asymmetry_score,vertical_energy,gyro_energy,accel_to_gyro_ratio,local_duration,fft_high_low_ratio,zcr,kurtosis,skewness,gyro_pitch_energy,gyro_roll_energy,gyro_yaw_energy,gyro_pitch_roll_ratio,level,trip_id,suggested_label,suggested_raw_label,suggested_kind,suggestion_confidence,suggestion_rule,suggestion_reason,needs_review,speed_factor,score,priority
0,1775972265.827,-6.8990167,109.406905,83.47067,-38.11863536924246,8.511639550713037,-3.8870190502610438,3.4188748510005103,9.420446,1.434000015258789,7.865652211186541,2,4,1.4260001182556152,0.0,0.6384167496589849,32137.84752675797,842.397094903004,38.15047283883136,1.4260001182556152,42.19642224897469,0.37092731829573933,0.9605969521192064,-0.4262065374645043,201.28200899982517,518.9941671865523,122.12091871662653,0.3878309648509854,normal,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,Non-Event,condition_like,0.8688888888888888,ML_Ensemble(RF),Dipelajari dari data (Confidence: 87%),False,1.0,0.406219573517074,medium
1,1775972266.967,-6.8979053,109.4069794,33.495884,-32.01467677806613,3.4156295982827976,-3.264588496384202,1.7103892226990325,12.110078,0.0,8.710419135053769,2,4,0.7820000648498535,0.0,0.538703200059985,36219.53150690523,823.2889420810612,43.99370574728956,0.7820000648498535,105.85291444732158,0.36523929471032746,0.5592272744454259,-0.29055118576355154,176.72837855921443,517.7044980316386,128.8560654902081,0.34136921523723124,normal,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,Non-Event,condition_like,0.8955555555555554,ML_Ensemble(RF),Dipelajari dari data (Confidence: 90%),False,1.0,0.19696486056526286,low
2,1775972285.40625,-6.8968191,109.4070534,80.0231,-43.705264325499755,8.160085248275406,-4.456696662519796,2.7279287367834133,11.824939,1.8420000076293945,8.458896732757978,2,3,1.0349998474121094,0.0,0.2325285977155345,49519.876967221615,1217.5613486726459,40.67136081523576,1.0349998474121094,43.19917318840896,0.40703517587939697,0.7964915981163201,-0.18187979608339372,307.5808794044103,769.1906622866497,140.7898069815859,0.3998759918511725,normal,178e7720-4939-4df4-b9af-2a0a7e15ece3,Speed Bump,Speed Bump,event,0.6613333333333332,ML_Ensemble(RF),Dipelajari dari data (Confidence: 66%),True,1.0,0.47296894786187305,medium
3,1775972289.292,-6.8957427,109.4071277,61.717308,-35.69719936025206,6.29341395889524,-3.640101294555435,2.195266510479138,9.986261,0.32200002670288086,9.930719357364174,1,4,0.0,0.0,0.06285779496538654,36464.609636339,1032.3171735216274,35.32306788680193,0.1,91.08899814639801,0.42462311557788945,0.5834589199585127,-0.25492592210046344,250.8872857283128,614.2927766919257,167.13711110138902,0.4084164666089163,normal,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,Non-Event,condition_like,0.7588888888888888,ML_Ensemble(RF),Dipelajari dari data (Confidence: 76%),True,1.0,0.28734426029353216,low
4,1775972293.339,-6.8957427,109.4071277,60.12958,-32.45130848036561,6.131510760555337,-3.309112538977695,2.1897322759346634,9.986261,3.7739999294281006,8.633502935278154,1,1,0.0,0.0,0.16265644497236273,31734.49282888419,708.3355816505236,44.80149466745235,0.1,169.75138323628454,0.37844611528822053,0.09040187164479097,-0.05435935084667612,246.76690519139186,341.4944854990315,120.07419096010032,0.7226087534273902,normal,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,Non-Event,condition_like,0.9988888888888888,ML_Ensemble(RF),Dipelajari dari data (Confidence: 100%),False,1.0,0.36592457684285673,medium
5,1775972297.533,-6.8947717,109.4071633,75.091896,-31.035805027176462,7.657242381445244,-3.164771356903373,2.2859363214282675,10.447317,0.0,8.377009582464627,1,6,0.0,0.0,0.05085981151556656,26912.493154425447,679.2011068920955,39.62374743166795,0.1,220.01278430761963,0.4166666666666667,0.16236046646558133,-0.16043304198282957,213.95257967246857,367.75820570253575,97.49032151709127,0.5817751331529791,normal,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,Non-Event,condition_like,0.9666666666666666,ML_Ensemble(RF),Dipelajari dari data (Confidence: 97%),False,1.0,0.20272076060177419,low
6,1775972300.113,-6.8947717,109.4071633,85.08956,-32.547040725878475,8.676720388715822,-3.31887451126312,3.1908999381120946,10.447317,0.0,8.45130469125895,1,4,0.0,0.0,0.2341659083155332,28163.367958695562,673.6290833688083,41.80842040851709,0.1,57.90786805581313,0.44221105527638194,0.3061558151545887,-0.20896326960902253,183.56291182040468,399.82896973347584,90.23720181492777,0.4591035799223435,normal,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,Non-Event,condition_like,0.9438888888888889,ML_Ensemble(RF),Dipelajari dari data (Confidence: 94%),False,1.0,0.24774609983420326,low
7,1775972312.118,-6.8940283,109.4072067,93.02455,-31.70443920414746,9.485864183997595,-3.232953067984221,2.0005514385101426,5.6856217,0.0,7.097467394634071,3,3,0.1809999942779541,0.021000146865844727,0.38889913877331683,24065.13371829671,772.1430887708475,31.166676276852563,0.3619999885559082,5.2718539018980035,0.3256997455470738,2.1473071525844656,-0.34310355775525825,186.93838660513887,461.9534382409646,123.25126392474394,0.4046693253594934,normal,178e7720-4939-4df4-b9af-2a0a7e15ece3,Speed Bump,Speed Bump,event,0.6003333333333334,ML_Ensemble(RF)_LOW_CONF,"ML ragu-ragu (Conf: 60%), pakai tebakan terbaik ML",True,1.0,0.18228372266403894,low
8,1775972418.472,-6.8941433,109.4176217,71.87033,-34.973709891506374,7.328734073307398,-3.566325900435559,2.6277667737132324,9.365886,0.0,6.768347376355739,2,3,0.23100018501281738,0.0,0.18208350865410428,20022.159106562165,512.8266010792415,39.042746662093705,0.23100018501281738,115.29064313218718,0.37373737373737376,1.8378063299866945,-0.18323213915783482,109.82358836125712,332.81980966992626,70.1832030480581,0.32997912035403015,normal,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,Pothole,event,0.6045,ML_Ensemble(RF)_LOW_CONF,"ML ragu-ragu (Conf: 60%), pakai tebakan terbaik ML",True,1.0,0.22880618851438456,low
9,1775972924.8395,-6.8923073,109.4395359,36.72497,-33.3137019227574,3.7449047330128025,-3.397052196494971,2.5314817713294424,13.983735,0.8889999389648438,10.148596814872496,1,3,0.0,0.0,0.16639716751021644,30837.47771803427,610.3886159703642,50.52105635766059,0.1,74.07033902380697,0.4949748743718593,0.3794508352305188,-0.4252707810706885,152.35319767556462,374.15852219199587,83.87689610280367,0.40718890051152473,normal,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,Non-Event,condition_like,0.9788888888888888,ML_Ensemble(RF),Dipelajari dari data (Confidence: 98%),False,1.0,0.32210704301619203,medium
10,1775972955.9885,-6.8921375,109.4433722,76.310745,-29.782075268169983,7.7815303900924375,-3.036926500708191,2.3548094723883715,14.374064,1.8269999027252197,6.446380353890772,3,5,0.9149999618530273,0.03500008583068848,0.8854361596928835,19461.37608164303,423.8043565974002,45.92066063683724,1.8299999237060547,51.82006344024087,0.42065491183879095,1.2275096585820169,-0.42319445186615195,109.16769500359639,254.89669484918664,59.73996674461724,0.4282821110721147,normal,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,Non-Event,condition_like,0.89,ML_Ensemble(RF),Dipelajari dari data (Confidence: 89%),False,1.0,0.30479376489961807,medium
