timestamp,ax,ay,az,magnitude,gx,gy,gz,lat,lon,alt,speed,accuracy,bearing
1776328623441,6.5860505,2.5470002,8.49495,10.3014145,0.0716375,-0.0518375,0.3014,-6.8762457,109.4858998,30.5,4.6099014,1.972,262.99866
1776328623442,1.8750001,10.57995,-0.07395,10.656336,0.3100625,-0.1689875,0.1651375,-6.8762457,109.4858998,30.5,4.6099014,1.972,262.99866
1776328623453,6.7390504,11.3869505,-12.646951,16.774168,0.3100625,-0.1689875,0.1651375,-6.8762457,109.4858998,30.5,4.6099014,1.972,262.99866
1776328623454,2.0070002,6.078,-7.76205,11.403468,-0.258225,0.2068,-0.1838375,-6.8762457,109.4858998,30.5,4.6099014,1.972,262.99866
1776328803712,-4.30095,9.318001,13.888051,13.814804,,,,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328803712,2.16,10.70205,0.58905005,11.509945,,,,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328803759,-6.6139503,7.21995,13.73505,15.796251,0.2322375,-0.201025,0.148775,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328803768,-1.0819501,7.143,8.19495,11.899055,-0.0922625,0.2182125,-0.113025,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328803774,1.57605,14.58495,1.7050501,14.194701,0.22055,-0.0287375,0.147675,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328803787,2.46195,9.92205,7.5700502,13.0154295,0.4291375,0.0947375,0.198825,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328803799,3.8509502,11.75895,-7.5049505,14.180361,0.05775,0.11385,0.17435,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328803807,6.3349504,12.76395,-15.391951,19.616293,0.260975,0.042625,0.050875,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328803819,4.2990003,4.899,5.4960003,10.743821,0.260975,0.042625,0.050875,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328803825,-3.3310502,5.65395,14.097001,14.588404,-0.4552625,0.1054625,-0.082225,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328803829,3.69495,9.4810505,-10.750951,14.760003,-0.0380875,0.040425,-0.3003,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328803840,0.76095,13.5720005,-11.946,17.429241,0.2088625,-0.055275,-0.229075,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328803851,1.2409501,7.3729506,9.309,13.037655,0.2088625,-0.055275,-0.229075,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328803861,-0.79905003,7.9099503,7.29195,11.237835,-0.507375,-0.0521125,-0.177925,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328803872,-6.5329504,13.786951,0.10305001,14.453011,0.058849998,-0.0372625,-0.2055625,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328803913,-5.7330003,10.345051,17.94795,20.086254,-1.2896125,0.2501125,-0.635525,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328803920,-9.8230505,4.8780003,28.872002,28.725204,0.8281625,-0.1073875,-0.1577125,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328804056,-1.2900001,7.87095,-2.29395,12.38447,-0.47753748,-0.368225,0.5850625,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328804056,-5.37795,6.0679502,14.326951,15.646651,-0.47753748,-0.368225,0.5850625,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328804059,7.6039505,1.4770501,3.048,9.788678,-0.0444125,0.3012625,-0.22687499,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328804059,0.56505,8.53695,-11.613001,13.49718,-0.0444125,0.3012625,-0.22687499,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328804059,-7.9870505,14.992051,1.0180501,16.313335,-0.0444125,0.3012625,-0.22687499,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328804059,9.63,5.2489505,8.62605,14.425381,-0.0444125,0.3012625,-0.22687499,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328804059,4.63395,14.797951,-10.22595,17.74491,-0.0444125,0.3012625,-0.22687499,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328804059,-13.026001,12.40995,6.2050505,18.773935,-0.0444125,0.3012625,-0.22687499,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328804059,2.7160501,4.15005,9.41205,12.265921,-0.0444125,0.3012625,-0.22687499,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328804059,2.469,2.94705,3.2329502,6.4717836,-0.0444125,0.3012625,-0.22687499,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328804059,-9.02805,9.021001,1.4250001,11.567888,-0.0444125,0.3012625,-0.22687499,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328804059,9.196951,6.2910004,-5.11005,12.120456,-0.0444125,0.3012625,-0.22687499,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328804059,4.8190503,6.228,9.108001,12.056269,-0.0444125,0.3012625,-0.22687499,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328804062,-1.6129501,10.72395,2.84505,11.3805,-0.0444125,0.3012625,-0.22687499,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328804076,-1.5700501,5.649,8.689051,10.661836,-0.0710875,0.22453749,-0.0023375,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328804084,-0.98805004,0.30600002,16.97805,15.73999,0.1513875,0.24475,0.081675,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328804091,-4.35795,5.76105,6.576,10.962864,0.1183875,0.2734875,0.10835,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328804102,-3.6850502,7.9189506,2.8660502,9.546641,0.6419875,-0.1947,0.4191,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328804111,10.876051,10.20405,-15.98595,19.399197,0.2897125,0.2734875,0.120037496,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328804122,3.2310002,16.09095,-12.918,20.588789,0.058849998,-0.104225,0.1243,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328804138,9.769051,15.564001,-16.60395,23.930702,-0.46695,-0.2979625,-0.02475,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328804142,14.902051,10.306951,-15.259951,23.73737,-1.2863125,0.27885,-0.603625,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328804153,-5.223,1.7070001,14.616001,17.23929,-0.574475,-0.1340625,-0.77605,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328804162,-17.04195,2.4109502,23.362951,26.662588,-0.194425,-0.3862375,-0.2226125,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328804172,-11.91195,-0.537,32.325,32.89584,-0.1508375,0.157575,-0.0012375,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328804182,1.67595,1.9390501,15.189001,18.902142,1.308175,0.417175,-0.066275,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328804193,1.5690001,21.30705,-15.559951,24.92472,0.423775,-0.334125,0.7244875,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328804204,15.654,15.68595,-16.386002,27.033585,-0.10505,0.4970625,0.1243,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328804212,10.717951,13.869,-6.6769505,20.411896,-0.6488625,0.1351625,-0.1406625,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328804227,-5.0890503,16.656,3.8389502,18.349731,-0.2327875,0.1692625,-0.3364625,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328804240,0.78495,4.70295,14.815051,16.12067,-0.309375,-0.057475,-0.569525,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328804246,-10.85805,4.67205,26.64195,26.54134,0.2908125,-0.757625,-0.3078625,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
1776328804256,-10.08495,6.49905,12.276001,19.040428,0.377025,-0.12979999,0.2083125,-6.8765089,109.4851407,30.5,12.423529,3.032,249.75674
