event_id,cnn_prediction,cnn_confidence,trip_id,time_s,lat,lon
2960,Speed Bump,0.99999654,be39b43a-973e-43aa-b09c-bf700836bc0b,1779958062.09,-6.9272994,109.526755
2624,Speed Bump,0.99272,eca4890f-8ce7-4817-a8f7-a26c3141d9cd,1779955547.61,-6.8988932,109.4960827
1268,Speed Bump,0.9887332,be5b69cb-890c-4018-87e3-886e6d92e8cc,1779866695.44,-6.8440885,109.4422632
4624,Speed Bump,0.9841084,f9990ae9-48ad-476b-98a3-629620bf76ae,1780724477.0,-6.9800682,110.4049542
4638,Speed Bump,0.94763446,f9990ae9-48ad-476b-98a3-629620bf76ae,1780724533.76,-6.9796672,110.4033188
4636,Speed Bump,0.92566127,f9990ae9-48ad-476b-98a3-629620bf76ae,1780724524.27,-6.9795713,110.4036937
4601,Speed Bump,0.91410536,f9990ae9-48ad-476b-98a3-629620bf76ae,1780724389.02,-6.979215,110.408405
4627,Speed Bump,0.89690065,f9990ae9-48ad-476b-98a3-629620bf76ae,1780724490.74,-6.9796108,110.4043972
4605,Speed Bump,0.8910386,f9990ae9-48ad-476b-98a3-629620bf76ae,1780724404.45,-6.979355,110.4079383
3044,Speed Bump,0.89019644,be39b43a-973e-43aa-b09c-bf700836bc0b,1779958316.08,-6.9479181,109.5124354
4637,Speed Bump,0.8897845,f9990ae9-48ad-476b-98a3-629620bf76ae,1780724529.29,-6.9796672,110.4033188
4630,Speed Bump,0.8606382,f9990ae9-48ad-476b-98a3-629620bf76ae,1780724500.61,-6.9795696,110.404029
843,Pothole,0.8599229,7fe6874a-33f5-4a42-bc51-972d099b647a,1779865452.13,-6.856517,109.4534277
2266,Pothole,0.8374512,ed73870a-3468-4be8-9919-dd504a197a50,1779869910.87,-6.8346617,109.50552
3529,Pothole,0.83154273,5f55e871-61cf-46f4-85b8-4f2cab7c3d36,1779960445.84,-6.9309191,109.52349
4535,Speed Bump,0.804604,3b5e0799-8d49-4156-abbe-c765e952e601,1780723911.03,-6.9798383,110.406815
194,Speed Bump,0.79352146,bf026662-aa33-4c79-b34d-296f7893c390,1779784249.14,-6.8951541,109.4079373
2156,Pothole,0.7808621,ed73870a-3468-4be8-9919-dd504a197a50,1779869558.89,-6.8220452,109.5174934
4603,Speed Bump,0.776621,f9990ae9-48ad-476b-98a3-629620bf76ae,1780724398.84,-6.979355,110.4079383
834,Pothole,0.77540463,7fe6874a-33f5-4a42-bc51-972d099b647a,1779865426.25,-6.8579604,109.4535418
844,Pothole,0.75874776,7fe6874a-33f5-4a42-bc51-972d099b647a,1779865453.15,-6.856517,109.4534277
4439,Speed Bump,0.7571868,3b5e0799-8d49-4156-abbe-c765e952e601,1780723591.1,-6.9797867,110.4084167
2961,Speed Bump,0.7502029,be39b43a-973e-43aa-b09c-bf700836bc0b,1779958063.88,-6.9272994,109.526755
4604,Speed Bump,0.7472269,f9990ae9-48ad-476b-98a3-629620bf76ae,1780724402.36,-6.979355,110.4079383
4619,Speed Bump,0.73657304,f9990ae9-48ad-476b-98a3-629620bf76ae,1780724461.93,-6.9799597,110.4053692
4392,Speed Bump,0.7347264,3b5e0799-8d49-4156-abbe-c765e952e601,1780723396.71,-6.9823488,110.4091254
2234,Pothole,0.72243166,ed73870a-3468-4be8-9919-dd504a197a50,1779869794.01,-6.8336687,109.5106395
1950,Pothole,0.72231823,d4df5c85-fa57-4561-9857-ec3b64f8ef1c,1779868991.93,-6.8347733,109.50812
3051,Speed Bump,0.72183025,be39b43a-973e-43aa-b09c-bf700836bc0b,1779958341.75,-6.9487837,109.5120976
1559,Pothole,0.7214425,d4df5c85-fa57-4561-9857-ec3b64f8ef1c,1779867859.07,-6.873915,109.4489282
349,Speed Bump,0.7198372,16b2f79d-1072-47bc-857d-326afb027ea2,1779784899.4,-6.8973149,109.4100857
2063,Pothole,0.71839815,ed73870a-3468-4be8-9919-dd504a197a50,1779869329.59,-6.8230162,109.5165071
4632,Speed Bump,0.71418357,f9990ae9-48ad-476b-98a3-629620bf76ae,1780724510.11,-6.9795661,110.4040012
1370,Pothole,0.7101901,be5b69cb-890c-4018-87e3-886e6d92e8cc,1779866997.63,-6.8532713,109.4198537
1548,Pothole,0.70338833,d4df5c85-fa57-4561-9857-ec3b64f8ef1c,1779867826.96,-6.8763933,109.4488817
81,Pothole,0.70173705,bf026662-aa33-4c79-b34d-296f7893c390,1779783849.61,-6.8969148,109.4102821
4623,Speed Bump,0.6972215,f9990ae9-48ad-476b-98a3-629620bf76ae,1780724473.73,-6.9800682,110.4049542
967,Pothole,0.6879245,dfb4f7d0-1b39-4322-9c7f-fb304e5d8530,1779865874.33,-6.8385204,109.4480298
882,Pothole,0.6804905,dfb4f7d0-1b39-4322-9c7f-fb304e5d8530,1779865647.45,-6.84638,109.4531317
1309,Pothole,0.67730093,be5b69cb-890c-4018-87e3-886e6d92e8cc,1779866812.64,-6.8480933,109.4319255
3053,Pothole,0.6665362,be39b43a-973e-43aa-b09c-bf700836bc0b,1779958348.53,-6.9492383,109.51201
3220,Speed Bump,0.6627926,be39b43a-973e-43aa-b09c-bf700836bc0b,1779958910.44,-6.9804506,109.4957542
4552,Speed Bump,0.65423787,3b5e0799-8d49-4156-abbe-c765e952e601,1780723979.25,-6.98176,110.4071233
2190,Pothole,0.652243,ed73870a-3468-4be8-9919-dd504a197a50,1779869650.96,-6.8261851,109.513569
4115,Pothole,0.6502642,b2b0d8ca-c7d3-46d5-ab8e-85502ef48faa,1780380362.99,-6.891068,109.3946715
1057,Pothole,0.6410589,dfb4f7d0-1b39-4322-9c7f-fb304e5d8530,1779866079.37,-6.8325919,109.4599044
3458,Pothole,0.63264424,5f55e871-61cf-46f4-85b8-4f2cab7c3d36,1779960216.95,-6.9498091,109.5118659
997,Pothole,0.6264535,dfb4f7d0-1b39-4322-9c7f-fb304e5d8530,1779865930.83,-6.8366997,109.4513634
