event_id,cnn_prediction,ground_truth,non_event_prob,event_id_on_trip,trip_id,time_s,lat,lon
3575,Non-Event,Pothole,0.4388663,173,5f55e871-61cf-46f4-85b8-4f2cab7c3d36,1779960622.81,-6.9217324,109.5336684
1299,Non-Event,Pothole,0.43817344,33,be5b69cb-890c-4018-87e3-886e6d92e8cc,1779866786.93,-6.8476155,109.433524
2310,Non-Event,Pothole,0.43482178,332,ed73870a-3468-4be8-9919-dd504a197a50,1779870029.13,-6.8381733,109.495675
4405,Non-Event,Speed Bump,0.43395895,104,3b5e0799-8d49-4156-abbe-c765e952e601,1780723446.75,-6.9815025,110.4094426
1557,Non-Event,Pothole,0.43089473,67,d4df5c85-fa57-4561-9857-ec3b64f8ef1c,1779867855.13,-6.8748308,109.4489092
3042,Non-Event,Pothole,0.42245522,83,be39b43a-973e-43aa-b09c-bf700836bc0b,1779958310.89,-6.947835,109.51237
4213,Non-Event,Speed Bump,0.416873,102,b2b0d8ca-c7d3-46d5-ab8e-85502ef48faa,1780380703.03,-6.8915883,109.3768317
3465,Non-Event,Pothole,0.41414484,63,5f55e871-61cf-46f4-85b8-4f2cab7c3d36,1779960234.8,-6.9479241,109.5122897
719,Non-Event,Pothole,0.3897536,200,7fe6874a-33f5-4a42-bc51-972d099b647a,1779865079.42,-6.8715126,109.439095
1316,Non-Event,Pothole,0.38771704,50,be5b69cb-890c-4018-87e3-886e6d92e8cc,1779866829.22,-6.8485667,109.4303636
160,Non-Event,Speed Bump,0.387529,161,bf026662-aa33-4c79-b34d-296f7893c390,1779784126.39,-6.89541,109.41094
468,Non-Event,Speed Bump,0.37296534,85,fe628252-e600-47d4-875d-7c6f005a735e,1779785513.54,-6.8995017,109.4086226
