trip_id,time_s,lat,lon,label,cnn_prediction,cnn_confidence
5f55e871-61cf-46f4-85b8-4f2cab7c3d36,1779960077.75,-6.9546093,109.5084549,Non-Event,Pothole,0.71041805
ed73870a-3468-4be8-9919-dd504a197a50,1779870095.82,-6.8426794,109.4938427,Non-Event,Pothole,0.70801175
ed73870a-3468-4be8-9919-dd504a197a50,1779869307.14,-6.8233467,109.51558,Non-Event,Pothole,0.6992726
ed73870a-3468-4be8-9919-dd504a197a50,1779869392.47,-6.8201163,109.5163888,Non-Event,Pothole,0.69544107
ed73870a-3468-4be8-9919-dd504a197a50,1779869070.31,-6.832292,109.5103138,Non-Event,Pothole,0.689048
ed73870a-3468-4be8-9919-dd504a197a50,1779869304.19,-6.8233467,109.51558,Non-Event,Pothole,0.688169
be5b69cb-890c-4018-87e3-886e6d92e8cc,1779867041.42,-6.8547555,109.4207122,Non-Event,Speed Bump,0.6875743
ed73870a-3468-4be8-9919-dd504a197a50,1779869545.33,-6.8213862,109.5174235,Non-Event,Pothole,0.68667567
ed73870a-3468-4be8-9919-dd504a197a50,1779869146.4,-6.8296344,109.5106525,Non-Event,Pothole,0.68416715
ed73870a-3468-4be8-9919-dd504a197a50,1779869585.12,-6.8230478,109.5164617,Non-Event,Pothole,0.68370473
ed73870a-3468-4be8-9919-dd504a197a50,1779869793.92,-6.8336687,109.5106395,Non-Event,Pothole,0.68357736
ed73870a-3468-4be8-9919-dd504a197a50,1779869316.13,-6.8233777,109.5155593,Non-Event,Pothole,0.6815426
ed73870a-3468-4be8-9919-dd504a197a50,1779870105.49,-6.8430426,109.4939531,Non-Event,Pothole,0.67986745
fe628252-e600-47d4-875d-7c6f005a735e,1779785453.99,-6.901485,109.4069699,Non-Event,Speed Bump,0.67448527
ed73870a-3468-4be8-9919-dd504a197a50,1779869650.99,-6.8261851,109.513569,Non-Event,Pothole,0.6728012
ed73870a-3468-4be8-9919-dd504a197a50,1779869187.71,-6.8268591,109.5114571,Non-Event,Pothole,0.6711039
ed73870a-3468-4be8-9919-dd504a197a50,1779870100.72,-6.8426794,109.4938427,Non-Event,Pothole,0.6691766
ed73870a-3468-4be8-9919-dd504a197a50,1779869182.79,-6.8268591,109.5114571,Non-Event,Pothole,0.66670597
ed73870a-3468-4be8-9919-dd504a197a50,1779869441.4,-6.8184987,109.5151352,Non-Event,Pothole,0.66658646
fe628252-e600-47d4-875d-7c6f005a735e,1779785490.63,-6.899391,109.407278,Non-Event,Speed Bump,0.665708
ed73870a-3468-4be8-9919-dd504a197a50,1779869332.82,-6.8228666,109.5171719,Non-Event,Pothole,0.66188914
ed73870a-3468-4be8-9919-dd504a197a50,1779869442.39,-6.8184753,109.5151123,Non-Event,Pothole,0.6594089
ed73870a-3468-4be8-9919-dd504a197a50,1779869558.73,-6.8220452,109.5174934,Non-Event,Pothole,0.6542648
ed73870a-3468-4be8-9919-dd504a197a50,1779870107.17,-6.8430426,109.4939531,Non-Event,Pothole,0.65320206
be5b69cb-890c-4018-87e3-886e6d92e8cc,1779867356.27,-6.8824633,109.4219733,Non-Event,Speed Bump,0.64381975
ed73870a-3468-4be8-9919-dd504a197a50,1779869533.14,-6.8208998,109.517047,Non-Event,Pothole,0.64120036
ed73870a-3468-4be8-9919-dd504a197a50,1779869222.81,-6.8265762,109.5133304,Non-Event,Pothole,0.6392575
ed73870a-3468-4be8-9919-dd504a197a50,1779869343.75,-6.8226579,109.5175504,Non-Event,Pothole,0.63704
ed73870a-3468-4be8-9919-dd504a197a50,1779869115.93,-6.8312337,109.5104916,Non-Event,Pothole,0.6365422
ed73870a-3468-4be8-9919-dd504a197a50,1779870083.71,-6.8420383,109.4940511,Non-Event,Pothole,0.6350668
fe628252-e600-47d4-875d-7c6f005a735e,1779785400.12,-6.9057384,109.4068124,Non-Event,Pothole,0.6346961
ed73870a-3468-4be8-9919-dd504a197a50,1779870372.14,-6.8489,109.4768733,Non-Event,Speed Bump,0.6336164
5f55e871-61cf-46f4-85b8-4f2cab7c3d36,1779960494.7,-6.9280783,109.526435,Non-Event,Pothole,0.6295018
5f55e871-61cf-46f4-85b8-4f2cab7c3d36,1779960085.95,-6.9542261,109.5087215,Non-Event,Pothole,0.62839633
ed73870a-3468-4be8-9919-dd504a197a50,1779869219.2,-6.8270601,109.5130461,Non-Event,Pothole,0.6250031
b2b0d8ca-c7d3-46d5-ab8e-85502ef48faa,1780380686.7,-6.8929703,109.3769406,Non-Event,Speed Bump,0.6246078
ed73870a-3468-4be8-9919-dd504a197a50,1779869675.66,-6.8266892,109.5122433,Non-Event,Pothole,0.6229004
fe628252-e600-47d4-875d-7c6f005a735e,1779785234.69,-6.9012341,109.4055195,Non-Event,Pothole,0.6197725
ed73870a-3468-4be8-9919-dd504a197a50,1779869723.36,-6.8291538,109.5107562,Non-Event,Pothole,0.6170764
ed73870a-3468-4be8-9919-dd504a197a50,1779869540.99,-6.8208998,109.517047,Non-Event,Pothole,0.6170224
ed73870a-3468-4be8-9919-dd504a197a50,1779869568.05,-6.822691,109.5175686,Non-Event,Pothole,0.6164931
ed73870a-3468-4be8-9919-dd504a197a50,1779869103.55,-6.8316992,109.5105249,Non-Event,Pothole,0.6119218
ed73870a-3468-4be8-9919-dd504a197a50,1779869229.14,-6.8265762,109.5133304,Non-Event,Speed Bump,0.6110018
ed73870a-3468-4be8-9919-dd504a197a50,1779869265.52,-6.8243517,109.51472,Non-Event,Pothole,0.60945266
5f55e871-61cf-46f4-85b8-4f2cab7c3d36,1779960043.1,-6.9555967,109.5076367,Non-Event,Pothole,0.60819715
ed73870a-3468-4be8-9919-dd504a197a50,1779869347.2,-6.8226579,109.5175504,Non-Event,Pothole,0.6073889
ed73870a-3468-4be8-9919-dd504a197a50,1779869104.74,-6.8316992,109.5105249,Non-Event,Pothole,0.60701203
ed73870a-3468-4be8-9919-dd504a197a50,1779869120.95,-6.8307752,109.510501,Non-Event,Pothole,0.605643
ed73870a-3468-4be8-9919-dd504a197a50,1779869899.62,-6.8351517,109.506525,Non-Event,Pothole,0.6028763
ed73870a-3468-4be8-9919-dd504a197a50,1779869436.0,-6.8184987,109.5151352,Non-Event,Pothole,0.6026839
ed73870a-3468-4be8-9919-dd504a197a50,1779869912.29,-6.8346617,109.50552,Non-Event,Speed Bump,0.5991452
ed73870a-3468-4be8-9919-dd504a197a50,1779869594.49,-6.8231934,109.5158284,Non-Event,Pothole,0.5959216
ed73870a-3468-4be8-9919-dd504a197a50,1779869342.02,-6.8226579,109.5175504,Non-Event,Pothole,0.5927018
ed73870a-3468-4be8-9919-dd504a197a50,1779869532.22,-6.8208998,109.517047,Non-Event,Pothole,0.5911447
ed73870a-3468-4be8-9919-dd504a197a50,1779870078.68,-6.8420383,109.4940511,Non-Event,Pothole,0.5877912
ed73870a-3468-4be8-9919-dd504a197a50,1779869571.42,-6.822691,109.5175686,Non-Event,Pothole,0.58480364
ed73870a-3468-4be8-9919-dd504a197a50,1779869730.96,-6.8291538,109.5107562,Non-Event,Pothole,0.58392245
f9990ae9-48ad-476b-98a3-629620bf76ae,1780724426.89,-6.9795574,110.4068897,Non-Event,Speed Bump,0.58359796
ed73870a-3468-4be8-9919-dd504a197a50,1779869112.93,-6.8312337,109.5104916,Non-Event,Pothole,0.58122456
ed73870a-3468-4be8-9919-dd504a197a50,1779869346.38,-6.8226579,109.5175504,Non-Event,Pothole,0.5711994
b2b0d8ca-c7d3-46d5-ab8e-85502ef48faa,1780380370.72,-6.893365,109.3864217,Non-Event,Speed Bump,0.56367904
ed73870a-3468-4be8-9919-dd504a197a50,1779869895.1,-6.8351517,109.506525,Non-Event,Speed Bump,0.56227887
ed73870a-3468-4be8-9919-dd504a197a50,1779869576.45,-6.8228953,109.5171309,Non-Event,Pothole,0.5609563
ed73870a-3468-4be8-9919-dd504a197a50,1779869384.59,-6.8205713,109.5167837,Non-Event,Pothole,0.5608817
ed73870a-3468-4be8-9919-dd504a197a50,1779869397.07,-6.8201163,109.5163888,Non-Event,Pothole,0.55550516
fe628252-e600-47d4-875d-7c6f005a735e,1779785540.0,-6.8990514,109.4110622,Non-Event,Pothole,0.5538946
5f55e871-61cf-46f4-85b8-4f2cab7c3d36,1779960960.55,-6.908314,109.5161588,Non-Event,Speed Bump,0.55292475
5f55e871-61cf-46f4-85b8-4f2cab7c3d36,1779960622.83,-6.9217324,109.5336684,Non-Event,Pothole,0.5513222
5f55e871-61cf-46f4-85b8-4f2cab7c3d36,1779960613.92,-6.9228021,109.5333528,Non-Event,Pothole,0.55050755
ed73870a-3468-4be8-9919-dd504a197a50,1779869437.82,-6.8184987,109.5151352,Non-Event,Pothole,0.54990363
ed73870a-3468-4be8-9919-dd504a197a50,1779869450.32,-6.8184753,109.5151123,Non-Event,Pothole,0.5451458
5f55e871-61cf-46f4-85b8-4f2cab7c3d36,1779960280.19,-6.9435013,109.5139013,Non-Event,Pothole,0.5450631
ed73870a-3468-4be8-9919-dd504a197a50,1779869299.01,-6.82352,109.5153133,Non-Event,Pothole,0.5446282
ed73870a-3468-4be8-9919-dd504a197a50,1779869310.96,-6.8233467,109.51558,Non-Event,Pothole,0.5445725
ed73870a-3468-4be8-9919-dd504a197a50,1779869492.3,-6.8191037,109.5156341,Non-Event,Pothole,0.5397862
ed73870a-3468-4be8-9919-dd504a197a50,1779869498.46,-6.8191037,109.5156341,Non-Event,Pothole,0.5396944
b2b0d8ca-c7d3-46d5-ab8e-85502ef48faa,1780380362.34,-6.891068,109.3946715,Non-Event,Speed Bump,0.5364109
ed73870a-3468-4be8-9919-dd504a197a50,1779869357.87,-6.8226242,109.5175462,Non-Event,Pothole,0.53547996
ed73870a-3468-4be8-9919-dd504a197a50,1779869139.76,-6.8307584,109.5105005,Non-Event,Pothole,0.5349215
ed73870a-3468-4be8-9919-dd504a197a50,1779869414.25,-6.819219,109.5157253,Non-Event,Pothole,0.53267914
fe628252-e600-47d4-875d-7c6f005a735e,1779785453.17,-6.901485,109.4069699,Non-Event,Speed Bump,0.5321682
ed73870a-3468-4be8-9919-dd504a197a50,1779869640.75,-6.8254124,109.513857,Non-Event,Pothole,0.52988595
f9990ae9-48ad-476b-98a3-629620bf76ae,1780724598.27,-6.981315,110.4025067,Non-Event,Pothole,0.527937
fe628252-e600-47d4-875d-7c6f005a735e,1779785376.0,-6.9076032,109.4067241,Non-Event,Pothole,0.5262957
5f55e871-61cf-46f4-85b8-4f2cab7c3d36,1779960522.42,-6.9269133,109.527455,Non-Event,Pothole,0.521332
ed73870a-3468-4be8-9919-dd504a197a50,1779869980.57,-6.8353174,109.4993637,Non-Event,Pothole,0.5179547
ed73870a-3468-4be8-9919-dd504a197a50,1779869851.03,-6.8347207,109.5082954,Non-Event,Pothole,0.5172628
ed73870a-3468-4be8-9919-dd504a197a50,1779869547.24,-6.8213862,109.5174235,Non-Event,Pothole,0.51249164
ed73870a-3468-4be8-9919-dd504a197a50,1779869687.96,-6.8263864,109.5116784,Non-Event,Speed Bump,0.5088207
ed73870a-3468-4be8-9919-dd504a197a50,1779869722.95,-6.8284411,109.5109349,Non-Event,Pothole,0.50867873
ed73870a-3468-4be8-9919-dd504a197a50,1779869540.13,-6.8208998,109.517047,Non-Event,Pothole,0.5045959
ed73870a-3468-4be8-9919-dd504a197a50,1779869689.6,-6.8263864,109.5116784,Non-Event,Pothole,0.49890307
ed73870a-3468-4be8-9919-dd504a197a50,1779869444.14,-6.8184753,109.5151123,Non-Event,Pothole,0.4959444
ed73870a-3468-4be8-9919-dd504a197a50,1779870267.06,-6.8496333,109.4890983,Non-Event,Speed Bump,0.49368963
ed73870a-3468-4be8-9919-dd504a197a50,1779869097.96,-6.8319396,109.5104442,Non-Event,Pothole,0.49344137
b2b0d8ca-c7d3-46d5-ab8e-85502ef48faa,1780380750.59,-6.890222,109.3758218,Non-Event,Pothole,0.49114463
be5b69cb-890c-4018-87e3-886e6d92e8cc,1779867036.16,-6.8547555,109.4207122,Non-Event,Pothole,0.49017626
b2b0d8ca-c7d3-46d5-ab8e-85502ef48faa,1780380825.58,-6.8913735,109.377993,Non-Event,Speed Bump,0.4889785
5f55e871-61cf-46f4-85b8-4f2cab7c3d36,1779960519.74,-6.9269133,109.527455,Non-Event,Pothole,0.4886839
ed73870a-3468-4be8-9919-dd504a197a50,1779869475.93,-6.8181232,109.514591,Non-Event,Speed Bump,0.48652694
be5b69cb-890c-4018-87e3-886e6d92e8cc,1779866997.61,-6.8532713,109.4198537,Non-Event,Pothole,0.48142713
ed73870a-3468-4be8-9919-dd504a197a50,1779869687.08,-6.8263864,109.5116784,Non-Event,Pothole,0.4812338
fe628252-e600-47d4-875d-7c6f005a735e,1779785369.01,-6.9090164,109.4066875,Non-Event,Pothole,0.4810887
ed73870a-3468-4be8-9919-dd504a197a50,1779869598.81,-6.8231934,109.5158284,Non-Event,Pothole,0.48054633
ed73870a-3468-4be8-9919-dd504a197a50,1779870799.96,-6.8831252,109.4585305,Non-Event,Speed Bump,0.48049837
ed73870a-3468-4be8-9919-dd504a197a50,1779869780.25,-6.8322626,109.5103422,Non-Event,Pothole,0.4794857
ed73870a-3468-4be8-9919-dd504a197a50,1779869790.92,-6.8330548,109.5104098,Non-Event,Pothole,0.47900102
ed73870a-3468-4be8-9919-dd504a197a50,1779870969.01,-6.89538,109.4586417,Non-Event,Pothole,0.47771922
5f55e871-61cf-46f4-85b8-4f2cab7c3d36,1779960302.81,-6.9395767,109.5148367,Non-Event,Pothole,0.4737843
ed73870a-3468-4be8-9919-dd504a197a50,1779869976.63,-6.8353174,109.4993637,Non-Event,Speed Bump,0.47364488
ed73870a-3468-4be8-9919-dd504a197a50,1779869368.04,-6.8214873,109.5174479,Non-Event,Pothole,0.47285408
ed73870a-3468-4be8-9919-dd504a197a50,1779869299.99,-6.82352,109.5153133,Non-Event,Pothole,0.4728349
ed73870a-3468-4be8-9919-dd504a197a50,1779869405.56,-6.8196503,109.5160356,Non-Event,Pothole,0.47247642
ed73870a-3468-4be8-9919-dd504a197a50,1779869340.93,-6.8228666,109.5171719,Non-Event,Pothole,0.4704062
ed73870a-3468-4be8-9919-dd504a197a50,1779869819.81,-6.8341638,109.5095744,Non-Event,Speed Bump,0.46849558
ed73870a-3468-4be8-9919-dd504a197a50,1779869478.46,-6.8181232,109.514591,Non-Event,Pothole,0.46792352
ed73870a-3468-4be8-9919-dd504a197a50,1779869481.21,-6.8181232,109.514591,Non-Event,Pothole,0.4672781
5f55e871-61cf-46f4-85b8-4f2cab7c3d36,1779960613.03,-6.9228021,109.5333528,Non-Event,Pothole,0.4632912
f9990ae9-48ad-476b-98a3-629620bf76ae,1780724734.61,-6.9837197,110.3881416,Non-Event,Speed Bump,0.46193346
5f55e871-61cf-46f4-85b8-4f2cab7c3d36,1779960037.58,-6.9555683,109.507465,Non-Event,Pothole,0.46142673
ed73870a-3468-4be8-9919-dd504a197a50,1779869649.82,-6.8261851,109.513569,Non-Event,Pothole,0.4585584
fe628252-e600-47d4-875d-7c6f005a735e,1779785708.13,-6.8942659,109.4104934,Non-Event,Pothole,0.4562621
ed73870a-3468-4be8-9919-dd504a197a50,1779869883.15,-6.8349006,109.5071219,Non-Event,Pothole,0.45604756
ed73870a-3468-4be8-9919-dd504a197a50,1779870968.31,-6.8952137,109.4576081,Non-Event,Pothole,0.4555746
be5b69cb-890c-4018-87e3-886e6d92e8cc,1779867338.13,-6.88133,109.4220367,Non-Event,Pothole,0.45534554
fe628252-e600-47d4-875d-7c6f005a735e,1779785255.48,-6.90252,109.4054933,Non-Event,Speed Bump,0.4548477
5f55e871-61cf-46f4-85b8-4f2cab7c3d36,1779959494.83,-6.9920383,109.4984667,Non-Event,Speed Bump,0.45406458
ed73870a-3468-4be8-9919-dd504a197a50,1779869394.05,-6.8201163,109.5163888,Non-Event,Pothole,0.4508501
ed73870a-3468-4be8-9919-dd504a197a50,1779869205.48,-6.8267695,109.5123755,Non-Event,Pothole,0.4497455
ed73870a-3468-4be8-9919-dd504a197a50,1779870094.66,-6.842643,109.4938506,Non-Event,Pothole,0.44963753
ed73870a-3468-4be8-9919-dd504a197a50,1779870089.82,-6.842643,109.4938506,Non-Event,Pothole,0.44770446
ed73870a-3468-4be8-9919-dd504a197a50,1779869468.86,-6.8181259,109.5147485,Non-Event,Pothole,0.44151875
