event_id,time_s,lat,lon,peak_vertical,peak_vertical_g,peak_gyro_mag,speed_mean,event_duration,vert_jrk,num_peaks_accel,num_peaks_gyro,peak_interval_mean,peak_interval_std,asymmetry_score,vertical_energy,gyro_energy,accel_to_gyro_ratio,local_duration,top2_peak_ratio,duration_above_threshold,max_jerk,peak_to_peak,fft_high_low_ratio,zcr,kurtosis,skewness,gyro_pitch_energy,gyro_roll_energy,gyro_yaw_energy,gyro_pitch_roll_ratio,score,priority,level,suggested_label,suggested_raw_label,suggested_kind,suggestion_confidence,suggestion_rule,suggestion_reason,needs_review,label,notes,maps_link
166,1776330134.467778,-6.8930405,109.531108,-60.97407502076769,-6.217625287000932,6.023662852062066,7.968693699999999,0.0,66.61390894595803,0,5,0.0,0.0,0.33096123459415716,90827.2158721367,1422.973443931056,63.829171370473,0.0,0.0,0.0,8073.851875484616,102.40769527119086,35.50486593787783,0.48,-0.19419211675558534,0.018850047746186004,96.37403510593248,1226.9734917315734,99.62591709355002,0.0785461427462283,0.8500000000000001,high,candidate,Speed Bump,Speed Bump,event,0.5239837634563446,ML_Ensemble(RF+XGB)_LOW_CONF,"ML ragu-ragu (Conf: 52%), pakai tebakan terbaik ML",True,,,"https://www.google.com/maps?q=-6.8930405,109.531108"
297,1776414081.2075,-6.8217121,109.4783806,-56.73924009588225,-5.7857923037818475,6.507644850781464,1.918774,0.0,78.23030922262237,0,6,0.0,0.0,0.12102092865060311,66149.74726477721,1067.8701493426577,61.945497065866206,0.0,0.0,0.0,7823.038382893019,95.67028122345015,18.70684199209503,0.37,0.035083678048893674,-0.379759769037968,127.79681027775507,831.997553397985,108.07578566691743,0.1536023869327669,0.8178688455672771,high,candidate,Non-Event,Normal,condition_like,0.92,R6,amplitudo rendah + tidak ada struktur event → Non-Event,False,,,"https://www.google.com/maps?q=-6.8217121,109.4783806"
282,1776414007.8616667,-6.8229028,109.4770648,-55.898558801759094,-5.700066669225382,9.382769629244079,5.2230177,0.0,64.74302352131737,0,6,0.0,0.0,0.3238470704466152,54965.502685633975,1639.9646592561385,33.51627264763691,0.0,0.0,0.0,6474.308526513495,84.80281652764478,23.30255411234972,0.425,0.26487941586784647,-0.20033860290096625,194.74329691555857,1296.2330417546336,148.9883205859463,0.15023787428046753,0.8050100003838074,high,high_conf,Non-Event,Normal,condition_like,0.92,R6,amplitudo rendah + tidak ada struktur event → Non-Event,False,,,"https://www.google.com/maps?q=-6.8229028,109.4770648"
100,1775974034.235,-6.8387717,109.4476917,-62.87880292314005,-6.411853479336986,8.117005082050353,6.8344817,0.0,45.21136616566386,0,4,0.0,0.0,0.49653160287373993,21538.5520242776,903.5645297795222,23.837314647240394,0.0,0.0,0.0,4521.14092826237,65.65423110621927,31.120303566009575,0.48,1.2187754930843715,-0.8354234808210456,218.6621975530747,571.0879442439034,113.81438798254419,0.38288708310886727,0.8007045538855462,high,high_conf,Non-Event,Non-Event,condition_like,0.6563535858918168,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 66%),True,,,"https://www.google.com/maps?q=-6.8387717,109.4476917"
259,1776413742.4075003,-6.8311626,109.4626186,-52.67977198261692,-5.371841758665489,9.224982700873008,5.300893,0.18999981880187988,77.04402062778,2,3,0.21000003814697266,0.0,0.07808712592278437,56135.74599591363,1011.3142030678657,55.50772032086139,0.21000003814697266,0.6997894419723738,0.18999981880187988,7704.409410275378,91.30090837656167,20.038650518315254,0.485,0.5020472097043389,-0.6031024501791177,103.8434398325899,837.6835519003394,69.78721133493661,0.12396499784799324,0.7700262502099643,high,high_conf,Non-Event,Non-Event,condition_like,0.47344641000796583,ML_Ensemble(RF+XGB)_LOW_CONF,"ML ragu-ragu (Conf: 47%), pakai tebakan terbaik ML",True,,,"https://www.google.com/maps?q=-6.8311626,109.4626186"
78,1775973869.915,-6.8446046,109.4528489,-54.0475323447468,-5.511314500338729,5.016582453911854,8.01516,0.3099997043609619,57.486985943100734,2,4,0.28999996185302734,0.0,0.2567264583944522,28732.6412458567,615.3782798015085,46.69102264778251,0.28999996185302734,0.669022611642419,0.3099997043609619,5748.704076701504,87.79824299490275,17.674260334610835,0.48,3.5279085974710096,-0.5682394671386516,131.97749936762511,422.97342029344406,60.42736014043926,0.31202315021128424,0.7587898544852792,high,candidate,Non-Event,Non-Event,condition_like,0.6612256240116954,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 66%),True,,,"https://www.google.com/maps?q=-6.8446046,109.4528489"
291,1776414054.9466667,-6.8223926,109.4776971,-61.21662378915772,-6.242358378157447,3.1125172701579102,1.9771558,0.0,63.321229326431826,0,5,0.0,0.0,0.570724363358975,54356.109965316704,946.4893176016093,57.42918477476866,0.0,0.0,0.0,6475.105439948231,103.48746610892222,17.169181715409994,0.48,0.5130858787399997,-0.21371312634198758,124.89111560059953,711.828513882027,109.7696881189828,0.17545112760943277,0.7537505756719303,high,candidate,Non-Event,Maneuver,condition_like,0.88,R5,gyro dominan + asimetri tinggi → maneuver (Non-Event),False,,,"https://www.google.com/maps?q=-6.8223926,109.4776971"
48,1775973586.2,-6.8655217,109.4530138,-49.18567925994165,-5.015543458769473,8.156258648505574,10.531018,0.3599996566772461,59.0652024707591,2,2,0.2999999523162842,0.0,0.5932269884475596,25073.780526343562,1133.50023679179,22.120666313392785,0.2999999523162842,0.6844304910238993,0.3599996566772461,5906.52587997794,80.40192531351,4.68757886820101,0.46766169154228854,3.6679125748644203,-0.7540888409066578,183.02667694251136,829.5985290143335,120.87503083494498,0.2206207826083649,0.726215501302078,high,high_conf,Non-Event,Non-Event,condition_like,0.4959005450285398,ML_Ensemble(RF+XGB)_LOW_CONF,"ML ragu-ragu (Conf: 50%), pakai tebakan terbaik ML",True,,,"https://www.google.com/maps?q=-6.8655217,109.4530138"
298,1776414086.6560001,-6.8214183,109.4792533,-50.770193043529964,-5.177118898250674,5.8690242968113955,4.849198,0.0,65.96749992404104,0,7,0.0,0.0,0.11502511710822004,60768.23499436628,1169.393670005649,51.965592512662674,0.0,0.0,0.0,6596.7562835611425,86.79728815793268,37.68189926908841,0.5,-0.11214274489229803,-0.41087608114945245,162.6960099216888,883.793042982586,122.90461710137421,0.18408835759618689,0.7222019779646476,high,candidate,Non-Event,Normal,condition_like,0.92,R6,amplitudo rendah + tidak ada struktur event → Non-Event,False,,,"https://www.google.com/maps?q=-6.8214183,109.4792533"
91,1775973994.4477777,-6.8377,109.4496917,-50.91916074395939,-5.192309376184466,5.430962847645019,6.0232797,0.08999991416931152,64.03128101593117,1,4,0.0,0.0,0.011604346384882834,33485.43148230664,533.860509868186,62.72318480318248,0.1,0.0,0.08999991416931152,6403.134208097756,83.61122196915896,17.109631884033746,0.435,1.3957273574790543,-0.4451040808022443,138.02663952528803,323.1341654070011,72.69970493589693,0.427149629703464,0.7166284949118688,high,candidate,Non-Event,Crack,condition_like,0.76,R4,spike kecil/rapat + durasi sangat singkat → Non-Event,True,,,"https://www.google.com/maps?q=-6.8377,109.4496917"
