window_start,window_end,mag_mean,mag_std,mag_max,mag_rms,mag_jrk,lat_mean,lon_mean,speed_mean,gyro_mag_mean,gyro_mag_max,gyro_mag_jrk,gyro_x_std,gyro_y_std,gyro_z_std,trip_id,label,event_id,source
1775972298.916,1775972299.916,22.45580455879397,10.288478729893956,61.95862,24.70052535793991,7.618609563636364,-6.894771699999999,109.40716330000004,10.447317000000002,1.13158111868988,3.595918438791055,0.3371323331450755,0.9068433439102276,0.6856807719763068,0.5112171899676798,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,5,event_labeled
1775972310.416,1775972311.416,17.3994542745,6.103670439753417,39.580956,18.438975076927026,4.894111221105528,-6.894028300000001,109.4072067,5.6856217,0.9672352779681538,1.9868248142450808,0.2631190565394073,0.6389389052121776,0.5854192924169452,0.5584870656636158,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,6,event_labeled
1775972310.916,1775972311.916,19.7643884622449,9.156419678458375,51.736435,21.78235691137621,5.519473597948718,-6.8940283,109.40720669999996,5.685621699999999,0.9951645909608758,3.157895033271572,0.2654283781454744,0.6774402255392653,0.6242191930543911,0.5846350585570311,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,6,event_labeled
1775972322.916,1775972323.916,19.34866520808081,8.648005732566645,52.64972,21.19336803070485,6.738124551269036,-6.8933759000000006,109.4072677,3.8525774,0.9131148302936573,2.6216137821053582,0.2814768506087712,0.7680848398780968,0.5090169549073038,0.4220448709855838,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,7,event_labeled
1775972323.416,1775972324.416,18.43767138434344,8.231849971632812,52.64972,20.1918567752574,5.9152856690355335,-6.8933759000000006,109.4072677,3.8525774,0.8872936794836013,2.6216137821053582,0.2795487290681653,0.7361948229671639,0.4953407964470854,0.4365762966887138,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,7,event_labeled
1775972343.416,1775972344.416,18.7382035479798,8.416196023931494,68.00903,20.54148552852892,5.169297939086294,-6.893465099999999,109.40909710000004,14.848360000000005,0.7497496512815693,2.6869224887057124,0.2626761941805061,0.6383446996347637,0.4566780771456774,0.3646176744216607,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,8,event_labeled
1775972343.916,1775972344.916,18.24606636180905,8.318698448271368,68.00903,20.052922020314444,5.204068272727273,-6.893465099999999,109.40909710000004,14.848360000000005,0.7199329059691005,2.6869224887057124,0.2439774139632976,0.604523967324829,0.4629946590584252,0.3346203875852367,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,8,event_labeled
1775972347.416,1775972348.416,17.101445075634516,6.439098210057021,52.565235,18.273516613769328,4.871775771428571,-6.8935844,109.41035659999996,13.817241,0.6861185494912971,2.676262052942032,0.2586918677115589,0.582720924771532,0.3764412853677663,0.3512059064050871,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,9,event_labeled
1775972347.916,1775972348.916,16.67804742385787,6.180415506620084,52.565235,17.78636561265179,4.722610714285714,-6.8935844,109.41035659999996,13.817241,0.6533263034525036,2.676262052942032,0.2659559683025068,0.5542880491600771,0.382204280420328,0.3109581331219205,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,9,event_labeled
1775972355.416,1775972356.416,17.440560020408164,5.942048656242873,49.487602,18.425012240392604,5.012570692307692,-6.8935844,109.4103566,13.817240999999996,0.7218277251940165,1.6914273618382227,0.1972816401025469,0.5609640410123389,0.4127531743819367,0.3591280392938921,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,10,event_labeled
1775972355.916,1775972356.916,16.90099541060606,5.725064146288826,49.487602,17.844326979419787,4.724735413197969,-6.8935844,109.4103566,13.817240999999996,0.6678674941047316,1.654616298090361,0.1740069885487693,0.4942433180329685,0.4135300909133985,0.3365255504549505,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,10,event_labeled
1775972362.416,1775972363.416,19.11663052676768,9.706108752118272,70.256714,21.43954546637808,5.605916265989848,-6.893717899999999,109.4115986,13.326381000000003,0.7865587888515044,3.444892968289255,0.2903053938422291,0.7308446176355451,0.5505036202319751,0.349710588459657,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,11,event_labeled
1775972362.916,1775972363.916,18.081573113065325,10.041437991135686,70.256714,20.682692357934208,5.471976080808081,-6.893717899999999,109.4115986,13.326381,0.7920194096721419,3.444892968289255,0.2781146572325389,0.731546121973759,0.5645410606420574,0.3559443100627841,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,11,event_labeled
1775972417.916,1775972418.916,23.79785281725888,14.89902361623571,86.31079,28.07701379116137,6.967744821428573,-6.894143299999997,109.4176217,9.365886000000003,1.1422872329606215,6.702471123877093,0.4310584383131082,1.2298442218802736,0.6543329783629738,0.5173129645690606,178e7720-4939-4df4-b9af-2a0a7e15ece3,Speed Bump,13,event_labeled
1775972418.416,1775972419.416,22.568856038118813,15.294416068253266,86.31079,27.263023048410748,7.098699291542289,-6.894143299999997,109.4176217,9.365886000000003,1.0466704277928789,6.702471123877093,0.3670916294486568,1.1856663003989805,0.628657127759354,0.4717944859321925,178e7720-4939-4df4-b9af-2a0a7e15ece3,Speed Bump,13,event_labeled
1775972424.416,1775972425.416,22.008674690954773,12.664678799644156,81.99519,25.3924368808988,8.114587121212121,-6.894143299999997,109.41762170000004,9.365886000000003,1.170969934117449,4.360843307868474,0.3862451208277043,0.9497464053219864,0.7876234589770489,0.5386885312810249,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,14,event_labeled
1775972424.916,1775972425.916,19.270725620707072,8.016523856473855,56.72823,20.87164393836744,6.805830082233503,-6.894143299999997,109.4176217,9.365886000000003,1.026118374313332,2.460463846862772,0.2914693681739187,0.7545577949784081,0.6699058873998486,0.4906769026105657,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,14,event_labeled
1775972434.416,1775972435.416,18.428400071356783,7.024134685596103,55.139706,19.721673287816557,6.20126524040404,-6.8942007000000025,109.41842,10.810950999999998,0.919401020714874,2.7034367061032243,0.3716354323490945,0.8078608306228852,0.4808153023739737,0.353822427892341,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,15,event_labeled
