window_start,window_end,mag_mean,mag_std,mag_max,mag_rms,mag_jrk,vert_mean,vert_std,vert_max,vert_min,vert_rms,lat_mean,lon_mean,speed_mean,gyro_mag_mean,gyro_mag_max,gyro_mag_jrk,gyro_x_std,gyro_y_std,gyro_z_std,trip_id
1775972208.41,1775972209.41,11.162933940789474,0.005017307183648146,11.170867,11.162935068332208,0.0015866118421053344,0.29290251361730524,0.021687621165741196,0.32726824228503537,0.2587549359443956,0.29370433329313406,-6.8994033,109.40729000000002,0.0,0.04797977013244606,0.0479889281664271,1.8083771412304162e-06,1.3194166973297059e-05,7.345941612159878e-05,4.3505091101141257e-05,178e7720-4939-4df4-b9af-2a0a7e15ece3
1775972225.91,1775972226.91,9.872484961666666,0.5494974265320804,11.549491,9.887765507944646,0.3251972708333332,-0.26470432539394895,0.5799972361036098,1.8337197866616957,-0.904851310636786,0.6375462130466246,-6.8994033,109.40729000000002,0.0,0.042827533614251775,0.08120792372053358,0.01184886320591525,0.010742084517506367,0.019135852962092012,0.0351214827757607,178e7720-4939-4df4-b9af-2a0a7e15ece3
1775972226.41,1775972227.41,9.98222896388889,0.5045889380176124,11.549491,9.994973991155353,0.539043668918919,-0.11689426896007328,0.6510176470666365,1.8337197866616957,-1.2788527293578027,0.6614289432039465,-6.899403300000002,109.40728999999999,0.0,0.12770772397605237,0.33037360842272206,0.05190675292772287,0.09037981608133977,0.0596027654649719,0.10586950664415756,178e7720-4939-4df4-b9af-2a0a7e15ece3
1775972226.91,1775972227.91,10.038618518749999,0.47018400817796896,11.457116,10.049623613177598,0.5944588560606061,-0.008937468169687388,0.6542522650373019,1.8160047877896122,-1.4334253292891963,0.6543133077079543,-6.899403300000002,109.40728999999999,0.0,0.17710949002968226,0.43497911480035456,0.08188854770229946,0.11618224762868669,0.0727738887582247,0.1373513968486502,178e7720-4939-4df4-b9af-2a0a7e15ece3
1775972227.41,1775972228.41,10.065770200833333,0.5160893822143541,11.697009,10.078991913203359,0.5718700850168351,0.0003140987884483182,0.6652623016792629,2.055668303122509,-1.4334253292891963,0.6652623758289954,-6.899403300000002,109.40728999999999,0.0,0.18578487939417745,0.43878397980954137,0.09654321826211316,0.12231318477783182,0.08628291237908338,0.1450619209591756,178e7720-4939-4df4-b9af-2a0a7e15ece3
1775972227.91,1775972228.91,10.35118557666667,0.8898821577435453,13.777605,10.38936634724478,0.9089123400673402,0.024309073748351208,1.0315357225744624,3.2580639553813353,-2.752192447102573,1.0318221154897393,-6.899403300000002,109.40728999999999,0.0,0.1646765073642992,0.43878397980954137,0.08382693746402382,0.11280919963934151,0.0819363825717604,0.12354271575339525,178e7720-4939-4df4-b9af-2a0a7e15ece3
1775972228.41,1775972229.41,10.473670778750002,0.9880059999514492,13.777605,10.520168032763626,1.0868741952861953,-0.0003663227371066169,1.1578146224208896,3.2580639553813353,-2.752192447102573,1.1578146803715934,-6.899403300000002,109.40728999999999,0.0,0.1303268239292928,0.3309985947496607,0.06984296063233549,0.08446937291578954,0.06978726404190734,0.09465585412716444,178e7720-4939-4df4-b9af-2a0a7e15ece3
1775972228.91,1775972229.91,10.708184408749998,1.2228111089531475,15.201103,10.777777152083626,1.2914725555555557,0.021124606745231676,1.3139401278401888,4.279336334507153,-2.784776655615878,1.314109930165217,-6.899403300000002,109.40728999999999,0.0,0.27596794989680573,0.8939877376116521,0.09662190373463232,0.09488299954478593,0.19013793686667702,0.16246081590113168,178e7720-4939-4df4-b9af-2a0a7e15ece3
1775972229.41,1775972230.41,11.808137877416668,2.740027728874326,22.198673499999998,12.1218757660307,2.3999651579124577,-0.007499516876050169,3.513840219118672,11.454660358148187,-10.751761582127385,3.5138482221418337,-6.899403300000002,109.40728999999999,0.0,0.43085663094127064,0.924521882008479,0.16657536634251074,0.21370197767967192,0.2599922736603539,0.18336334512275784,178e7720-4939-4df4-b9af-2a0a7e15ece3
1775972229.91,1775972230.91,13.108584062500002,3.1769250310202777,22.198673499999998,13.488062454494797,3.25220848989899,-0.021507413503269502,3.9692099945130987,11.454660358148187,-10.751761582127385,3.9692682637204393,-6.899403300000002,109.40728999999999,0.0,0.4153469204006334,1.069981374399807,0.21378573299394,0.262204602587148,0.2825991307092933,0.2076026530434898,178e7720-4939-4df4-b9af-2a0a7e15ece3
