,peak_mag,peak_vertical,peak_mag_g,peak_vertical_g,peak_gyro_mag,speed_mean,event_duration,vert_jrk,num_peaks_accel,num_peaks_gyro,peak_interval_mean,peak_interval_std,asymmetry_score,vertical_energy,gyro_energy,accel_to_gyro_ratio,local_duration,top2_peak_ratio,duration_above_threshold,max_jerk,peak_to_peak,fft_high_low_ratio,zcr,kurtosis,skewness,gyro_pitch_energy,gyro_roll_energy,gyro_yaw_energy,gyro_pitch_roll_ratio,energy_psd_2_10,speed_vert_interaction,speed_normalized_p2p,horizontal_to_vertical_ratio,grav_y_std,grav_z_std,linear_jerk_3d_max,snr_vertical,crest_factor,hjorth_activity,hjorth_mobility,hjorth_complexity,corr_xy,corr_xz,corr_yz,impulse_factor,clearance_factor,shape_factor,time_center_of_mass,min_z_to_max_z_ratio,first_peak_polarity,rise_time_ratio,peak_asymmetry,waveform_complexity,brake_to_bump_ratio,down_up_asymmetry
peak_mag,1.0,0.06365995245312699,1.0,0.0636599524531268,0.6280390708093051,-0.11618527641860968,0.04646793846934068,0.595821621863683,,,,,-0.002941466549839787,0.5508394592472713,0.5651729355006637,0.13182209199099051,0.05463174168084737,,0.03581996412250555,0.604183588463985,0.6060937132721633,,-0.06787077934497741,0.3138724412432367,0.03846506544181644,0.5655520373102102,0.45237111203437425,0.3731062435433032,0.3068359912088381,,0.46438909482596324,0.3673500191359596,-0.1592379636811485,0.09424958604117759,0.06785580102823206,0.6550999056772601,,0.27166942706238995,0.5508259429628499,-0.049014231791989965,-0.013439864580365805,0.2728503672688928,0.17972554332407523,-0.4005056838574706,0.30581249947993394,0.3164588602563745,0.34077835558666486,0.02076564534763383,-0.008650543672162255,-0.01892410023739013,-0.08052457905793825,-0.005006400197709762,0.05342821916775936,-0.08338067947448823,-0.02905998241404261
peak_vertical,0.06365995245312699,1.0,0.06365995245312696,0.9999999999999994,0.0908631927270034,-0.015405266593834632,0.04069290473541932,-0.01347097619635705,,,,,-0.002925498582598754,-0.015162545255806296,-0.044314564998763295,0.05149421951445257,-3.849845549274903e-06,,0.0530048370761864,-0.009606414251363559,0.00537431772572877,,-0.05388575763458259,0.04043211861142083,0.15784931872350805,-0.04640099946715741,-0.034098398800445635,-0.019465873048638307,-0.006578732725157654,,-0.006347499835580856,0.012998753216924815,-0.022239687330004927,-0.0103270561449229,-0.003052416517174333,0.0133816169823364,,0.02938670946491195,-0.015148502266515733,-0.0643080829796928,0.04683068338144307,0.03497476905011175,-0.009383529137943283,-0.006145235207529645,0.03452302854406699,0.03504716436422042,0.04242580653781709,0.006185945187628068,0.17976731758766987,-0.030249817772098574,-0.019937143581006234,0.014362659785954383,0.015765205929766386,-0.018488742184512408,-0.17338304943170485
peak_mag_g,1.0,0.06365995245312696,1.0,0.06365995245312697,0.6280390708093065,-0.11618527641861011,0.04646793846934057,0.595821621863683,,,,,-0.0029414665498397586,0.5508394592472723,0.5651729355006658,0.1318220919909903,0.05463174168084743,,0.03581996412250562,0.6041835884639822,0.6060937132721615,,-0.06787077934497747,0.313872441243237,0.038465065441816555,0.5655520373102091,0.4523711120343745,0.37310624354330385,0.3068359912088374,,0.46438909482596297,0.3673500191359594,-0.15923796368114831,0.09424958604117797,0.06785580102823215,0.6550999056772591,,0.2716694270623894,0.550825942962851,-0.0490142317919901,-0.013439864580365963,0.27285036726889295,0.1797255433240752,-0.4005056838574705,0.3058124994799339,0.3164588602563742,0.34077835558666475,0.02076564534763396,-0.00865054367216219,-0.018924100237390107,-0.08052457905793822,-0.005006400197709752,0.05342821916775931,-0.0833806794744885,-0.029059982414042656
peak_vertical_g,0.0636599524531268,0.9999999999999994,0.06365995245312697,1.0,0.09086319272700343,-0.015405266593834633,0.04069290473541949,-0.013470976196356994,,,,,-0.0029254985825987495,-0.015162545255806341,-0.04431456499876356,0.05149421951445252,-3.849845549273263e-06,,0.053004837076186494,-0.009606414251363552,0.005374317725728856,,-0.053885757634582705,0.04043211861142085,0.15784931872350788,-0.04640099946715754,-0.0340983988004457,-0.019465873048638376,-0.006578732725157629,,-0.006347499835580805,0.012998753216924761,-0.02223968733000496,-0.010327056144922917,-0.0030524165171743147,0.013381616982336425,,0.029386709464911943,-0.015148502266515713,-0.06430808297969297,0.04683068338144312,0.03497476905011177,-0.009383529137943263,-0.006145235207529627,0.03452302854406694,0.03504716436422045,0.042425806537817225,0.006185945187628062,0.17976731758767014,-0.030249817772098606,-0.019937143581006362,0.014362659785954404,0.01576520592976637,-0.018488742184512453,-0.17338304943170516
peak_gyro_mag,0.6280390708093051,0.0908631927270034,0.6280390708093065,0.09086319272700343,1.0,-0.13484534344602486,0.05093023399226475,0.5381763193758643,,,,,0.009986871806735211,0.49798340702994975,0.5109141070974503,0.10567641061958494,0.041468635128940924,,0.05454953407868309,0.5435871453331821,0.5415882855470413,,-0.11288866704700663,0.29056594077260395,0.018808744295197508,0.5072261573405993,0.4012641737718006,0.36944836397936937,0.2931496415977807,,0.4075655792117198,0.33430436096081917,-0.18546702793934347,0.10645958982285,0.10945713665990522,0.5785995225103614,,0.25426749677452326,0.4980218236190618,-0.10554334336779499,0.0748309515967783,0.3024477698302847,0.14384941195531825,-0.35539898311849993,0.28536236964656786,0.29490128394118476,0.32058199031776735,0.016475950043165176,-0.00878178610368082,0.011597382776776202,-0.059756665629278255,-0.008052786152082431,0.05646019633172073,-0.125074871813692,-0.012513524525553836
speed_mean,-0.11618527641860968,-0.015405266593834632,-0.11618527641861011,-0.015405266593834633,-0.13484534344602486,1.0,0.004307295226147552,-0.09499372427887201,,,,,-0.022140233640016247,-0.1110843984899305,-0.1315932853109781,0.01981990891458699,0.0821061528538984,,-0.0025270708306901397,-0.10037249770808822,-0.1171644034082918,,0.09255803905751457,-0.12929430879272968,0.001274231949331811,-0.08213852641980629,-0.23512575711689535,-0.20152807982138154,0.20064522506883609,,0.21888026399094995,-0.5869851542049647,0.02736862281933001,-0.04824801114706609,-0.12989088750930114,-0.13759471971951914,,-0.10273657505227807,-0.11106826753635657,0.13025532267141032,-0.16534267059298488,0.09104433776386989,-0.1675388036548795,0.13067304846792924,-0.12167523071346349,-0.12924412554923845,-0.15335604212956383,0.01563550889213024,0.011447955984412395,-0.011400442078915973,-0.005331139592172372,0.009672299872943949,0.009130434539400017,0.16752685248329263,-0.015338558715614424
event_duration,0.04646793846934068,0.04069290473541932,0.04646793846934057,0.04069290473541949,0.05093023399226475,0.004307295226147552,1.0,0.04325658313826501,,,,,-0.00841212732194668,0.037458183720468885,0.014213982013516221,0.047940887389389605,-0.03209828187488335,,0.3783781824624872,0.04288012995981679,0.05912209806132266,,-0.04612238281244532,0.10135136817172051,-0.005989462643505994,0.012012156349225872,0.009753029532416389,0.023788177043249516,0.031066696765775947,,0.035426610247158714,0.04046401451891827,-0.06305887318853767,0.00326196243591249,0.02182590986945173,0.050456002507753485,,0.05981437005267144,0.03747271527337116,-0.08157726940337374,0.061636325751485095,0.05716878891779826,0.009270708737672453,-0.017271039427836962,0.08393602089424254,0.09274072828018422,0.12868024850738644,0.06011197727617662,0.0028114693519290445,0.019904205495714845,-0.01720497957820982,0.04973673594208359,0.12928793874040298,-0.062348479365802054,-0.007481697958477274
vert_jrk,0.595821621863683,-0.01347097619635705,0.595821621863683,-0.013470976196356994,0.5381763193758643,-0.09499372427887201,0.04325658313826501,1.0,,,,,0.01522040037490853,0.853988894779056,0.7263471911278676,0.3781679190138257,0.06172708267526799,,0.03657610126988505,0.956779933459183,0.9361597716682072,,-0.05608000937123202,0.5389507833163436,0.0390565028366992,0.7142465980725613,0.5906200811162242,0.538356419033399,0.3473297374271677,,0.7725651500004014,0.5171131632774428,-0.39444273982906236,0.13511760425223585,0.14710384704996338,0.766100578263541,,0.4779812005623866,0.8539844601915353,-0.00798012601072288,-0.10978612056562227,0.4188086043229923,0.1510121086048504,-0.4351053242704445,0.5284515107678631,0.542483193225981,0.5573336409564875,0.015140750639742141,-0.0036763696862624163,-0.016688206162068085,-0.052273398689050336,-0.018856934453028946,0.051286824145461374,-0.34303645712522696,-0.03759327185422333
num_peaks_accel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_peaks_gyro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
