Class,Precision,Recall,F1-score,Support
Non-Event,0.9760051880674449,0.9772727272727273,0.9766385463984426,1540.0
Pothole,0.6575342465753424,0.6075949367088608,0.631578947368421,79.0
Speed Bump,0.7413793103448276,0.7962962962962963,0.7678571428571429,54.0
