trip_id,event_id,time_s,true_label,pred_label,prob_NonEvent,prob_Pothole,prob_SpeedBump,peak_mag,peak_vertical,peak_mag_g,peak_vertical_g,peak_gyro_mag,speed_mean,event_duration,vert_jrk,num_peaks_accel,num_peaks_gyro,peak_interval_mean,peak_interval_std,asymmetry_score,vertical_energy,gyro_energy,accel_to_gyro_ratio,local_duration,top2_peak_ratio,duration_above_threshold,max_jerk,peak_to_peak,fft_high_low_ratio,zcr,kurtosis,skewness,gyro_pitch_energy,gyro_roll_energy,gyro_yaw_energy,gyro_pitch_roll_ratio,energy_psd_2_10,speed_vert_interaction,speed_normalized_p2p,horizontal_to_vertical_ratio,grav_y_std,grav_z_std,linear_jerk_3d_max,snr_vertical,crest_factor,hjorth_activity,hjorth_mobility,hjorth_complexity,corr_xy,corr_xz,corr_yz,impulse_factor,clearance_factor,shape_factor,time_center_of_mass,min_z_to_max_z_ratio,first_peak_polarity,rise_time_ratio,peak_asymmetry,waveform_complexity,speed_factor,brake_to_bump_ratio,down_up_asymmetry
3b5e0799-8d49-4156-abbe-c765e952e601,4636,1780723338.86,Non-Event,Pothole,0.17239538,0.72743785,0.100166775,36.01787265609838,-0.0943961561508518,3.672800870439792,-0.0096257290869819,2.0826919706686104,4.5052776,0.0399999618530273,282.02004219390057,0,0,0.0,0.0,0.1350700872170835,1449.1485648808944,214.33672814619155,6.761083695984187,1.9900000095367432,0.0,0.0499999523162841,282.02004219390057,19.29270815791404,0.0,0.09,4.351668184190775,0.5212404497339654,42.28660644978346,125.2071422106888,46.84297948571928,0.3377331785186318,0.0,6528.81656843004,3.50440242248893,60.12405351239375,0.3693504148253863,0.3515849459565741,13027.19238729385,1.0,4.069860893402758,7.118863680204107,0.301468986412468,1.8067733282187357,-0.3481427916204696,-0.1610607677842308,-0.6291192839088153,6.388071430829669,8.739404854643855,1.569603783760417,0.3635361489186146,-0.7610512426389512,1.0,0.1179775274270925,0.2347695951433929,98.76888694318468,1.0987615305889298,10.669396400910763,1.1516634858600163
be39b43a-973e-43aa-b09c-bf700836bc0b,3101,1779958090.99,Non-Event,Pothole,0.036975436,0.71518224,0.24784231,40.79026216772576,-5.47142275880907,4.159449166405017,-0.5579298495214033,3.073934872871618,12.836658,0.0299999713897705,421.2930682869375,0,0,0.0,0.0,0.0572698902175455,1303.0630337109296,106.70340996725308,12.212009174766076,1.9900000095367432,0.0,0.0299999713897705,421.2930682869375,17.780398224180217,0.0,0.115,3.97968442894249,0.5632283522556034,11.414040021779376,76.54690804094739,18.74246190452632,0.1491117037224016,0.0,16635.691575744968,1.2915600973980568,38.895091830342594,0.0902099376881039,0.3133079161392549,9819.316338127195,1.0,3.902015205912128,6.041630912779333,0.3271571889146634,1.9024981864712365,-0.1934518804892853,-0.3836340062469769,-0.6633991022861306,5.9897696956817095,7.892256898594318,1.5350445943904016,0.0517192892436158,-1.2735756258914357,-1.0,0.9134615296782546,-0.0911910812321667,146.61081973986188,1.0,7.748028419007893,3.0702411844368886
be39b43a-973e-43aa-b09c-bf700836bc0b,3174,1779958316.65,Non-Event,Pothole,0.07090108,0.7622539,0.166845,44.51057076899546,-0.2394248096149367,4.538815066204612,-0.0244145360153504,1.0642869744271586,1.8945814,0.0199999809265136,354.3604625871273,0,0,0.0,0.0,0.3381648546865131,2807.0002452633216,197.494639322301,14.213045177744789,1.9900000095367432,0.0,0.0199999809265136,354.3604625871273,18.271062292822947,0.0,0.115,0.4444424178324015,0.3826095250817826,20.546487310576573,152.52169005019513,24.426461961529263,0.1347119033961844,0.0,5318.090454471328,6.312160470879467,28.844532490340452,0.1783353000518401,0.3518926755545551,11228.860039683545,1.0,2.7376420714499186,13.991210188788306,0.3103312977336667,1.855795529973888,0.1199494498526164,-0.4361713488438686,-0.6610980842528393,3.69771895268978,4.655151832682485,1.350694454994162,0.1710733403676142,-0.7814792570577326,-1.0,0.4632352907115052,0.3914277857976526,46.18608309880325,1.252789921608294,5.685593178148778,1.0644877365989536
be39b43a-973e-43aa-b09c-bf700836bc0b,3182,1779958349.02,Non-Event,Pothole,0.41388837,0.5616258,0.02448587,84.75589133799505,-5.163041959075546,8.642695654274911,-0.526483759395466,5.835041645965884,3.1645122,0.0499999523162841,350.36233569231973,0,0,0.0,0.0,0.0695250446813373,1657.678578745335,489.2123968608653,3.388463959608783,1.9900000095367432,0.0,0.0499999523162841,350.36233569231973,19.01363454140885,0.0,0.1,4.102094385690903,0.4410007421382452,99.04300248810696,334.58617185106056,55.58322252169788,0.2960164242417617,0.0,5245.744086118274,4.565633050951045,81.09563668346215,0.152308622710097,0.385551099032279,19166.54027360812,1.0,3.927565450809453,7.863857169527495,0.3148461211236096,2.17308124211959,0.1619242395215803,-0.6211394368232679,-0.7120369686120348,6.120085773990681,8.568202832939313,1.5582384876438875,-0.3783537721030836,-0.6815368140525672,1.0,10.05555499691361,-0.4955613087152427,21.932007846388867,1.16003358611473,12.81128806014432,1.3787236477365248
be39b43a-973e-43aa-b09c-bf700836bc0b,3258,1779958582.51,Non-Event,Pothole,0.058888238,0.93792844,0.0031832592,73.89327364977191,5.991850253931744,7.535016917068716,0.6109986849670116,1.1129806330254326,10.110487,0.0499999523162841,376.4464655593741,0,0,0.0,0.0,0.183759852090464,3178.2107750226314,529.4529079719631,6.002820498604404,1.9900000095367432,0.0,0.1399998664855957,376.4464655593741,19.274351306177373,0.0,0.09,0.3596407329747473,0.7326990188921996,58.69002576007543,365.272217559544,105.49066465234374,0.160674759201563,0.0,32133.25872412624,1.7347890606575005,62.479410634400224,0.758055627908304,0.3842168978242624,16319.586827635358,1.0,2.6377076798872645,15.52483955625098,0.3028484742511678,1.8783243132619556,-0.2162618803344796,-0.1921167363497019,-0.7273868031316708,3.3109555365166288,3.917746024583525,1.255239438089249,0.2300352090861681,-0.8330597817517419,1.0,0.4632352907115052,-0.0847322912943247,546.2342490218878,1.0,11.290324342796293,1.0571278858540605
be39b43a-973e-43aa-b09c-bf700836bc0b,3360,1779958902.12,Non-Event,Pothole,0.099861406,0.71514064,0.184998,55.53335236112415,-4.353864902555324,5.662825976365441,-0.4439706630251231,2.7727975566274323,14.78226,0.0199999809265136,369.8491746815092,0,0,0.0,0.0,0.0291368267969943,2322.027257290415,322.9353939364148,7.190377065194778,1.9900000095367432,0.0,0.0299999713897705,369.8491746815092,20.91998440231349,0.0,0.09,1.4646249132338482,-0.7116974115510979,31.646396177405165,252.61779029309892,38.67120746591071,0.125273821829467,0.0,34324.81064435383,1.32553793957985,71.04305745743193,0.2183381296284416,0.3211363649840312,10136.523495297895,1.0,3.1487981319421303,11.55644716585274,0.2973772274863889,1.8887202618657415,-0.291277064148269,-0.1929932327633897,-0.6651852381721222,4.265560784395991,5.232604729394789,1.3546627487042135,-0.3640662091424281,-1.052814884592538,-1.0,3.234042484382075,-0.5018369350502611,205.62934331074737,1.0,11.250559710874708,1.0462496302366235
be39b43a-973e-43aa-b09c-bf700836bc0b,3362,1779958910.28,Non-Event,Pothole,0.37804624,0.6055421,0.016411621,39.97770542024526,3.378029812877809,4.076591437467969,0.3444631768114299,3.260860604352112,13.089368,0.0399999618530273,343.11803566134773,0,0,0.0,0.0,0.1841191241870902,2055.367575943752,546.4601402446481,3.761239696755069,1.9900000095367432,0.0,0.0399999618530273,343.11803566134773,17.31039101648426,0.0,0.1,0.8417802633318914,-0.8483219037120456,50.89180876063898,430.66679800579226,64.90153347821678,0.1181697982712489,0.0,26903.46257679573,1.2286137331698808,87.06734429289511,0.1101953536230384,0.239426792906335,11695.526902319943,1.0,3.665595382898311,9.729779637323722,0.3358558435045866,1.799046566257802,-0.1070228525024596,-0.2004066910050966,-0.6829454078767473,4.776985527945864,5.755643502577067,1.303194580641144,-0.445973720822871,-2.113714080415352,-1.0,2.7547169291562845,-0.45050964385631,898.367253766052,1.0,12.89835409658746,2.93705486582592
be39b43a-973e-43aa-b09c-bf700836bc0b,3378,1779958956.93,Non-Event,Pothole,0.34103918,0.36655807,0.29240277,34.18042409149353,-4.318228394278171,3.4854332612557326,-0.4403367504987097,0.6066264193201508,15.622407,0.0299999713897705,288.3357124375673,0,0,0.0,0.0,0.1343746477093255,2499.3999315899687,280.97329898384584,8.895506910207013,1.9900000095367432,0.0,0.0699999332427978,288.3357124375673,19.423887420010917,0.0,0.08,1.106569584958396,-0.0021283087130372,23.33166207511546,229.49004862758463,28.15158828114572,0.1016674235461536,0.0,38861.43638989487,1.1737688887970648,46.66325053632483,0.0365323593272332,0.2753867274442814,11974.361956348328,1.0,3.1634766947477715,12.428447204039962,0.2519921154400263,2.626027478976941,-0.2043629385904043,-0.1530569010466957,-0.6944162852477623,4.413321543409698,5.6309826035734805,1.395085445804512,-0.2603605753014107,-1.3570824992453228,-1.0,3.738095149092973,-0.2134013703295816,19.954565042912076,1.0,7.4933686946845155,1.553991223245
be39b43a-973e-43aa-b09c-bf700836bc0b,3379,1779958958.37,Non-Event,Pothole,0.25300688,0.73831934,0.008673822,56.39387239524928,9.56951528304239,5.750574599404412,0.9758189884458394,1.046022881580065,15.622407,0.0,342.09378333403083,0,0,0.0,0.0,0.0009528796090577,3247.493705801712,694.2419238537193,4.677755101704607,1.9900000095367432,0.0,0.0699999332427978,342.09378333403083,21.994205991691707,0.0,0.095,0.5302797454857688,0.4466273988561606,33.53549916240546,619.6025801117867,41.10384457952725,0.0541242082985369,0.0,50733.66840197261,1.3231661330210305,72.8183823053349,0.0715758861433597,0.4269840004762991,15421.594528399064,1.0,2.7639730423084905,16.011126984769366,0.2596181365103436,2.6925535609002607,-0.2134400978177018,-0.0049875479378953,-0.810736750675394,3.5445640588315195,4.243042693971321,1.282415973288194,-0.0408487356286381,-0.974763980260818,1.0,0.6722689019137067,-0.4921800539965412,111.70546371949736,1.0,13.011669073781636,0.9201956267473662
be39b43a-973e-43aa-b09c-bf700836bc0b,3386,1779958983.0,Non-Event,Pothole,0.20210116,0.5694339,0.22846495,57.51828816889281,1.2538916975136989,5.865233098855655,0.1278613693273135,5.335423437039406,13.662045,0.0999999046325683,415.3323353048666,0,0,0.0,0.0,0.0042308113833068,2244.886173634646,478.7321520291181,4.689232088194638,1.9900000095367432,0.0,0.059999942779541,415.3323353048666,22.00031507200028,0.0,0.09,4.170181079757398,0.0383861102585852,21.854193988578285,427.5483397885873,29.3296182519525,0.0511151416194705,0.0,30669.73592407436,1.5004943083996996,61.380496850440366,0.0879328381273351,0.2706013088471597,17526.181355746754,1.0,4.444979508827558,10.844846124126754,0.2704103832694626,2.271652781165961,-0.5453506940579804,0.1630532876577959,-0.7987510736685782,6.8877313472576525,9.10283441215614,1.5495525407298605,0.0410313096666208,-2.094996467414357,1.0,0.8090909017355373,-0.085638073963052,70.85365539160756,1.0,13.82934624653475,2.961106634254064
